"seen","see","Spatřili","spatřit","pf"," The two schooners, under all sail and joined by a third, could be seen making back."," Spatřili oba škunery, vracející se s plnými plachtami a doprovázené třetím."
"found","find","shledal","shledat","pf"," At the top he found two women, two children, and a man."," Na vrcholku shledal dvě ženy, dvě děti a muže."
"clasped","clasp","svíralo","svírat","impf"," One little girl clasped a house-cat in her arms."," Jedno z děvčátek svíralo v náručí domácí kočku."
"attached","attach","přivázal","přivázat","pf"," The pandanus-tree, to which he attached himself, turned over and over in the froth and churn; and it was only by holding on at times and waiting, and at other times shifting his grips rapidly, that he was able to get his head and Ngakura ’ s to the surface at intervals sufficiently near together to keep the breath in them."," Pandán, ke kterému se Mapuhi přivázal, se v rozvířené vodní pěně nepřestával otáčet, a tak Mapuhimu nezbývalo, než se jednou držet a čekat, jindy zase rychle měnit své úchyty, a tak dostat svou a Ngakuřinu hlavu nad vodu v intervalech dostatečně krátkých na to, aby v nich zůstal dech."
"turned","turn","otáčet","otáčet","impf"," The pandanus-tree, to which he attached himself, turned over and over in the froth and churn; and it was only by holding on at times and waiting, and at other times shifting his grips rapidly, that he was able to get his head and Ngakura ’ s to the surface at intervals sufficiently near together to keep the breath in them."," Pandán, ke kterému se Mapuhi přivázal, se v rozvířené vodní pěně nepřestával otáčet, a tak Mapuhimu nezbývalo, než se jednou držet a čekat, jindy zase rychle měnit své úchyty, a tak dostat svou a Ngakuřinu hlavu nad vodu v intervalech dostatečně krátkých na to, aby v nich zůstal dech."
"holding","hold","držet","držet","impf"," The pandanus-tree, to which he attached himself, turned over and over in the froth and churn; and it was only by holding on at times and waiting, and at other times shifting his grips rapidly, that he was able to get his head and Ngakura ’ s to the surface at intervals sufficiently near together to keep the breath in them."," Pandán, ke kterému se Mapuhi přivázal, se v rozvířené vodní pěně nepřestával otáčet, a tak Mapuhimu nezbývalo, než se jednou držet a čekat, jindy zase rychle měnit své úchyty, a tak dostat svou a Ngakuřinu hlavu nad vodu v intervalech dostatečně krátkých na to, aby v nich zůstal dech."
"keep","keep","držet","držet","impf"," The pandanus-tree, to which he attached himself, turned over and over in the froth and churn; and it was only by holding on at times and waiting, and at other times shifting his grips rapidly, that he was able to get his head and Ngakura ’ s to the surface at intervals sufficiently near together to keep the breath in them."," Pandán, ke kterému se Mapuhi přivázal, se v rozvířené vodní pěně nepřestával otáčet, a tak Mapuhimu nezbývalo, než se jednou držet a čekat, jindy zase rychle měnit své úchyty, a tak dostat svou a Ngakuřinu hlavu nad vodu v intervalech dostatečně krátkých na to, aby v nich zůstal dech."
"waiting","wait","čekat","čekat","impf"," The pandanus-tree, to which he attached himself, turned over and over in the froth and churn; and it was only by holding on at times and waiting, and at other times shifting his grips rapidly, that he was able to get his head and Ngakura ’ s to the surface at intervals sufficiently near together to keep the breath in them."," Pandán, ke kterému se Mapuhi přivázal, se v rozvířené vodní pěně nepřestával otáčet, a tak Mapuhimu nezbývalo, než se jednou držet a čekat, jindy zase rychle měnit své úchyty, a tak dostat svou a Ngakuřinu hlavu nad vodu v intervalech dostatečně krátkých na to, aby v nich zůstal dech."
"shifting","shift","měnit","měnit","impf"," The pandanus-tree, to which he attached himself, turned over and over in the froth and churn; and it was only by holding on at times and waiting, and at other times shifting his grips rapidly, that he was able to get his head and Ngakura ’ s to the surface at intervals sufficiently near together to keep the breath in them."," Pandán, ke kterému se Mapuhi přivázal, se v rozvířené vodní pěně nepřestával otáčet, a tak Mapuhimu nezbývalo, než se jednou držet a čekat, jindy zase rychle měnit své úchyty, a tak dostat svou a Ngakuřinu hlavu nad vodu v intervalech dostatečně krátkých na to, aby v nich zůstal dech."
"get","get","dostat","dostat","pf"," The pandanus-tree, to which he attached himself, turned over and over in the froth and churn; and it was only by holding on at times and waiting, and at other times shifting his grips rapidly, that he was able to get his head and Ngakura ’ s to the surface at intervals sufficiently near together to keep the breath in them."," Pandán, ke kterému se Mapuhi přivázal, se v rozvířené vodní pěně nepřestával otáčet, a tak Mapuhimu nezbývalo, než se jednou držet a čekat, jindy zase rychle měnit své úchyty, a tak dostat svou a Ngakuřinu hlavu nad vodu v intervalech dostatečně krátkých na to, aby v nich zůstal dech."
"keep","keep","dostat","dostat","pf"," The pandanus-tree, to which he attached himself, turned over and over in the froth and churn; and it was only by holding on at times and waiting, and at other times shifting his grips rapidly, that he was able to get his head and Ngakura ’ s to the surface at intervals sufficiently near together to keep the breath in them."," Pandán, ke kterému se Mapuhi přivázal, se v rozvířené vodní pěně nepřestával otáčet, a tak Mapuhimu nezbývalo, než se jednou držet a čekat, jindy zase rychle měnit své úchyty, a tak dostat svou a Ngakuřinu hlavu nad vodu v intervalech dostatečně krátkých na to, aby v nich zůstal dech."
"get","get","zůstal","zůstat","pf"," The pandanus-tree, to which he attached himself, turned over and over in the froth and churn; and it was only by holding on at times and waiting, and at other times shifting his grips rapidly, that he was able to get his head and Ngakura ’ s to the surface at intervals sufficiently near together to keep the breath in them."," Pandán, ke kterému se Mapuhi přivázal, se v rozvířené vodní pěně nepřestával otáčet, a tak Mapuhimu nezbývalo, než se jednou držet a čekat, jindy zase rychle měnit své úchyty, a tak dostat svou a Ngakuřinu hlavu nad vodu v intervalech dostatečně krátkých na to, aby v nich zůstal dech."
"help","help","pomůžete","pomoci","pf"," You ’ ll help me, Mrs. Strang."," Paní Strangová, pomůžete mi."
"told","tell","řekl","říci","pf"," “ It never would have happened, ” he told Madge, “ if he hadn ’ t had so many other things needing vitality first."," "" Nikdy by se to nestalo, "" řekl Linday Madge, "" kdyby v něm tolik dalších věcí nepotřebovalo životní sílu ještě víc."
"needing","need","nepotřebovalo","potřebovat","impf"," “ It never would have happened, ” he told Madge, “ if he hadn ’ t had so many other things needing vitality first."," "" Nikdy by se to nestalo, "" řekl Linday Madge, "" kdyby v něm tolik dalších věcí nepotřebovalo životní sílu ještě víc."
"said","say","řekl","říci","pf"," “ Good-bye, ” he said."," "" Sbohem, "" řekl."
"kissed","kiss","políbila","políbit","pf"," “ Dear, strong hand, ” she murmured, and bent and kissed it."," "" Drahá, silná ruka, "" zašeptala, sklonila se a políbila ji."
"jerked","jerk","vytrhl","vytrhnout","pf"," He jerked it away, thrust the canoe out from the bank, dipped the paddle in the swift rush of the current, and entered the head of the riffle where the water poured glassily ere it burst into a white madness of foam."," Linday jí ruku vytrhl, odstrčil kanoi od břehu, ponořil pádlo do rychle ubíhajícího proudu a vyrazil nad peřeje, kde voda uplývala hladce jako sklo, dokud se nerozbila v bílém běsnění pěny."
"dipped","dip","ponořil","ponořit","pf"," He jerked it away, thrust the canoe out from the bank, dipped the paddle in the swift rush of the current, and entered the head of the riffle where the water poured glassily ere it burst into a white madness of foam."," Linday jí ruku vytrhl, odstrčil kanoi od břehu, ponořil pádlo do rychle ubíhajícího proudu a vyrazil nad peřeje, kde voda uplývala hladce jako sklo, dokud se nerozbila v bílém běsnění pěny."
"said","say","Říká","říkat","impf"," Who said so?"," Říká kdo?"
"Give","give","Dejte","dát","pf"," Give him a moose steak and he ’ d show them how dead he was."," Dejte mu steak z losího masa a on vám ukáže, jak je mrtvý."
"show","show","ukáže","ukázat","pf"," Give him a moose steak and he ’ d show them how dead he was."," Dejte mu steak z losího masa a on vám ukáže, jak je mrtvý."
"Give","give","Dejte","dát","pf"," Give him a moose steak and he ’ d show them."," Dejte mu steak z losího masa a on vám ukáže."
"show","show","ukáže","ukázat","pf"," Give him a moose steak and he ’ d show them."," Dejte mu steak z losího masa a on vám ukáže."
"queried","query","zeptal","zeptat","pf"," How ’ s things up Dawson-way? ” queried the foremost, passing his eye over Donald and Davy and settling it upon the Kid."," Jak se mají věci na cestě do Dawsonu? "" zeptal se první, pohledem přelétl Donalda a Davyho a zastavil se na Kidovi."
"feasted","feast","hostil","hostit","impf"," The high officials bowed down to him for further information, and he was feasted at the Barracks by Constantine and his brother officers."," Vysocí úředníci jej poníženě žádali o další informace a Constantine ho se svými důstojnickými kolegy hostil na služebně."
"holding","hold","držel","držet","impf"," He clutched a tree that yet stood, and clung on, holding the girl and sobbing for air, while the waters of the lagoon washed by knee-high and at times waist-high."," Pevně držel děvče a lapal po dechu, zatímco se kolem přelévala vodní masa ve výšce kolen a někdy i pasu."
"broke","break","zlomila","zlomit","pf"," At three in the morning the backbone of the hurricane broke."," Ve tři hodiny ráno se páteř hurikánu zlomila."
"saw","see","spatřil","spatřit","pf"," Donald, from the top of the pine, saw the devastating berg sweep away the cordwood and disappear down stream."," Donald z koruny borovice spatřil, jak ničivý ledovec smetl vyrovnané dřevo a pokračoval dál po proudu."
"look","look","podívejte","podívat","pf"," “ There is no wind, yet look at it, look at that fellow there! ”"," "" Je bezvětří, a přitom se podívejte, podívejte se tamhle na toho chlapíka! """
"look","look","podívejte","podívat","pf"," “ There is no wind, yet look at it, look at that fellow there! ”"," "" Je bezvětří, a přitom se podívejte, podívejte se tamhle na toho chlapíka! """
"look","look","podívejte","podívat","pf"," “ There is no wind, yet look at it, look at that fellow there! ”"," "" Je bezvětří, a přitom se podívejte, podívejte se tamhle na toho chlapíka! """
"look","look","podívejte","podívat","pf"," “ There is no wind, yet look at it, look at that fellow there! ”"," "" Je bezvětří, a přitom se podívejte, podívejte se tamhle na toho chlapíka! """
"exclaimed","exclaim","vykřikl","vykřiknout","pf"," “ Gracious! ” he exclaimed, half-rising from his chair, then sinking back."," "" Bože můj! "" vykřikl a vymrštil se ze své židle téměř do stoje, aby vzápětí zase klesnul zpátky."
