"convinced","convince","přesvědčit","přesvědčit","pf"," You 've known me for long enough, Mr. K., I 'm sure you 're convinced of that."," Znáte mě přece už dost dlouho, pane K., abyste se mohl o tom přesvědčit."
"said","say","řekl","říci","pf"," "" That 's exactly the problem, "" said K., "" I do n't know that myself. """," "" V tom je právě háček, "" řekl K., "" to ani sám nevím. """
"done","do","nepostačí","postačit","pf"," It would of course not be enough, if that was to be done, for K. to sit in the corridor with his hat under the bench like the others."," K tomu ovšem nepostačí, aby K. seděl na chodbě jako ostatní a dal si klobouk pod lavici."
"sit","sit","seděl","sedět","impf"," It would of course not be enough, if that was to be done, for K. to sit in the corridor with his hat under the bench like the others."," K tomu ovšem nepostačí, aby K. seděl na chodbě jako ostatní a dal si klobouk pod lavici."
"force","force","přinutit","přinutit","pf"," Day after day, he himself, or one of the women or somebody else on his behalf, would have to run after the officials and force them to sit at their desks and study K. ' s documents instead of looking out on the corridor through the grating."," On sám nebo ženy kolem něho nebo jiní poslové musí den co den doléhat na úředníky a přinutit je, aby se přestali dívat mříží na chodbu, aby se posadili ke stolu a studovali podání K."
"looking","look","dívat","dívat","impf"," Day after day, he himself, or one of the women or somebody else on his behalf, would have to run after the officials and force them to sit at their desks and study K. ' s documents instead of looking out on the corridor through the grating."," On sám nebo ženy kolem něho nebo jiní poslové musí den co den doléhat na úředníky a přinutit je, aby se přestali dívat mříží na chodbu, aby se posadili ke stolu a studovali podání K."
"sit","sit","posadili","posadit","pf"," Day after day, he himself, or one of the women or somebody else on his behalf, would have to run after the officials and force them to sit at their desks and study K. ' s documents instead of looking out on the corridor through the grating."," On sám nebo ženy kolem něho nebo jiní poslové musí den co den doléhat na úředníky a přinutit je, aby se přestali dívat mříží na chodbu, aby se posadili ke stolu a studovali podání K."
"study","study","studovali","studovat","impf"," Day after day, he himself, or one of the women or somebody else on his behalf, would have to run after the officials and force them to sit at their desks and study K. ' s documents instead of looking out on the corridor through the grating."," On sám nebo ženy kolem něho nebo jiní poslové musí den co den doléhat na úředníky a přinutit je, aby se přestali dívat mříží na chodbu, aby se posadili ke stolu a studovali podání K."
"came","come","přicházeli","přicházet","impf"," When I was a boy I used to listen closely to my father when he told us about court cases at home, and the judges that came to his studio talked about the court, in our circles nobody talks about anything else;"," Už jako dítě jsem dával dobrý pozor, když otec doma vypravoval o procesech, soudcové, kteří přicházeli do jeho ateliéru, také vypravovali o soudu, mezi sebou nemluvíme vůbec o ničem jiném;"
"told","tell","nemluvíme","mluvit","impf"," When I was a boy I used to listen closely to my father when he told us about court cases at home, and the judges that came to his studio talked about the court, in our circles nobody talks about anything else;"," Už jako dítě jsem dával dobrý pozor, když otec doma vypravoval o procesech, soudcové, kteří přicházeli do jeho ateliéru, také vypravovali o soudu, mezi sebou nemluvíme vůbec o ničem jiném;"
"talked","talk","nemluvíme","mluvit","impf"," When I was a boy I used to listen closely to my father when he told us about court cases at home, and the judges that came to his studio talked about the court, in our circles nobody talks about anything else;"," Už jako dítě jsem dával dobrý pozor, když otec doma vypravoval o procesech, soudcové, kteří přicházeli do jeho ateliéru, také vypravovali o soudu, mezi sebou nemluvíme vůbec o ničem jiném;"
"continued","continue","pokračoval","pokračovat","impf"," "" You have to realise, "" the lawyer continued, in a tone as if he were explaining something obvious, unnecessary and incidental, "" you have to realise that I also derive great advantage for my clients from mixing with those people, and do so in many different ways, it 's not something you can keep talking about all the time."," "" Považte přece, "" pokračoval advokát tónem, jako by zbytečně a jen tak mimochodem vysvětloval, co se rozumí samo sebou, "" považte přece, že z takového styku mám i velké výhody pro svou klientelu, a to po nejedné stránce, člověk o tom ani nesmí vždycky mluvit."
"keep","keep","pokračoval","pokračovat","impf"," "" You have to realise, "" the lawyer continued, in a tone as if he were explaining something obvious, unnecessary and incidental, "" you have to realise that I also derive great advantage for my clients from mixing with those people, and do so in many different ways, it 's not something you can keep talking about all the time."," "" Považte přece, "" pokračoval advokát tónem, jako by zbytečně a jen tak mimochodem vysvětloval, co se rozumí samo sebou, "" považte přece, že z takového styku mám i velké výhody pro svou klientelu, a to po nejedné stránce, člověk o tom ani nesmí vždycky mluvit."
"explaining","explain","vysvětloval","vysvětlovat","impf"," "" You have to realise, "" the lawyer continued, in a tone as if he were explaining something obvious, unnecessary and incidental, "" you have to realise that I also derive great advantage for my clients from mixing with those people, and do so in many different ways, it 's not something you can keep talking about all the time."," "" Považte přece, "" pokračoval advokát tónem, jako by zbytečně a jen tak mimochodem vysvětloval, co se rozumí samo sebou, "" považte přece, že z takového styku mám i velké výhody pro svou klientelu, a to po nejedné stránce, člověk o tom ani nesmí vždycky mluvit."
"keep","keep","mám","mít","impf"," "" You have to realise, "" the lawyer continued, in a tone as if he were explaining something obvious, unnecessary and incidental, "" you have to realise that I also derive great advantage for my clients from mixing with those people, and do so in many different ways, it 's not something you can keep talking about all the time."," "" Považte přece, "" pokračoval advokát tónem, jako by zbytečně a jen tak mimochodem vysvětloval, co se rozumí samo sebou, "" považte přece, že z takového styku mám i velké výhody pro svou klientelu, a to po nejedné stránce, člověk o tom ani nesmí vždycky mluvit."
"talking","talk","mluvit","mluvit","impf"," "" You have to realise, "" the lawyer continued, in a tone as if he were explaining something obvious, unnecessary and incidental, "" you have to realise that I also derive great advantage for my clients from mixing with those people, and do so in many different ways, it 's not something you can keep talking about all the time."," "" Považte přece, "" pokračoval advokát tónem, jako by zbytečně a jen tak mimochodem vysvětloval, co se rozumí samo sebou, "" považte přece, že z takového styku mám i velké výhody pro svou klientelu, a to po nejedné stránce, člověk o tom ani nesmí vždycky mluvit."
"attract","attract","vzbudil","vzbudit","pf"," If that really was their relationship, how would they direct K. ' s trial which, as the lawyer had explained, was especially difficult and therefore important enough to attract great attention from the very first time it came to court?"," Mají - li se však věci opravdu takto, jak by zasáhli v K. procesu, který je, jak prohlašuje advokát, procesem velmi nesnadným, tedy významným, a hned zpočátku vzbudil u soudu velkou pozornost?"
"do","do","udělají","udělat","pf"," There could not be much doubt about what they would do."," Nemůže být mnoho pochyb o tom, co udělají."
"dragged","drag","táhlo","táhnout","impf"," On winter 's mornings such as this, when he was very tired and everything dragged itself lethargically through his head, this belief of his seemed irrefutable."," Právě když byl velmi unaven, jak tohoto zimního dopoledne, kdy mu všechno mimoděk táhlo hlavou, nemohl se ubránit tomuto přesvědčení."
"say","say","řekl","říci","pf"," What do you think he 'd say if he learned his trial still has n't begun, if you told him they have n't even rung the bell to announce the start of proceedings? '"," Co by tak asi řekl, kdyby se dověděl, že jeho proces vůbec ještě nezačal, kdyby se mu řeklo, že ani nebylo dáno znamení zvonkem, aby byl proces zahájen. '"
"told","tell","řekl","říci","pf"," What do you think he 'd say if he learned his trial still has n't begun, if you told him they have n't even rung the bell to announce the start of proceedings? '"," Co by tak asi řekl, kdyby se dověděl, že jeho proces vůbec ještě nezačal, kdyby se mu řeklo, že ani nebylo dáno znamení zvonkem, aby byl proces zahájen. '"
"learned","learn","dověděl","dovědět","pf"," What do you think he 'd say if he learned his trial still has n't begun, if you told him they have n't even rung the bell to announce the start of proceedings? '"," Co by tak asi řekl, kdyby se dověděl, že jeho proces vůbec ještě nezačal, kdyby se mu řeklo, že ani nebylo dáno znamení zvonkem, aby byl proces zahájen. '"
"begun","begin","nezačal","začít","pf"," What do you think he 'd say if he learned his trial still has n't begun, if you told him they have n't even rung the bell to announce the start of proceedings? '"," Co by tak asi řekl, kdyby se dověděl, že jeho proces vůbec ještě nezačal, kdyby se mu řeklo, že ani nebylo dáno znamení zvonkem, aby byl proces zahájen. '"
