"thought","think","pomyslel","pomyslet","pf"," At the sight of that bag, Pinocchio felt slightly happier and thought to himself :"," Když Pinocchio čepici uviděl, skoro ho to potěšilo a hned si v duchu pomyslel :"
"wept","weep","plakal","plakat","impf"," The poor old fellow did not know how to defend himself, but wept and wailed like a child and said between his sobs :"," Ten nevěděl, co by řekl na svou obhajobu, a tak plakal jako želva a cestou do vězení vzlykal :"
"think","think","pomyslím","pomyslit","pf"," To think I tried so hard to make you a well-behaved Marionette!"," Když si jen pomyslím, jakou jsem si dal práci, abych vyřezal panáčka, jak se sluší a patří!"
"thought","think","Měl","mít","impf"," I should have given the matter more thought. """," Měl jsem na to myslet dřív! """
"thought","think","myslet","myslet","impf"," I should have given the matter more thought. """," Měl jsem na to myslet dřív! """
"swallowed","swallow","spolkla","spolknout","pf"," Then he swallowed him so fast that Pinocchio, falling down into the body of the fish, lay stunned for a half hour."," A spolkla ho tak hltavě a tak lačně, že se Pinocchio při pádu do nitra žraločího těla pořádně uhodil a byl z toho omráčený celou čtvrthodinu."
"recovered","recover","vzpamatoval","vzpamatovat","pf"," When he recovered his senses the Marionette could not remember where he was."," Když se z toho ohromení vzpamatoval, nemohl si srovnat v hlavě, kde se to vlastně ocitl."
"thought","think","měl","mít","impf"," Around him all was darkness, a darkness so deep and so black that for a moment he thought he had put his head into an inkwell."," Ze všech stran měl kolem sebe velikou tmu a ta tma byla tak černá a hluboká, že mu připadalo, jako by strčil hlavu do kalamáře s inkoustem."
"looking","look","dívala","dívat","impf"," The Fairy sat looking at him and laughing."," A víla se na něj dívala a smála se."
"laughing","laugh","smála","smát","impf"," The Fairy sat looking at him and laughing."," A víla se na něj dívala a smála se."
"laugh","laugh","smějete","smát","impf"," "" Why do you laugh? "" the Marionette asked her, worried now at the sight of his growing nose."," "" Proč se smějete? "" zeptal se jí panáček, celý zmatený a znepokojený tím, jak mu ten jeho nos roste před očima."
"asked","ask","zeptal","zeptat","pf"," "" Why do you laugh? "" the Marionette asked her, worried now at the sight of his growing nose."," "" Proč se smějete? "" zeptal se jí panáček, celý zmatený a znepokojený tím, jak mu ten jeho nos roste před očima."
"growing","grow","roste","růst","impf"," "" Why do you laugh? "" the Marionette asked her, worried now at the sight of his growing nose."," "" Proč se smějete? "" zeptal se jí panáček, celý zmatený a znepokojený tím, jak mu ten jeho nos roste před očima."
"laughing","laugh","Směju","smát","impf"," "" I am laughing at your lies. """," "" Směju se té lži, kterou jsi řekl. """
"lying","lie","lhal","lhát","impf"," "" How do you know I am lying? """," "" Jak víte, že jsem lhal? """
"flung","fling","praštil","praštit","pf"," When he reached the yard in front of the house, he flung him to the ground, put a foot on his neck, and said to him roughly :"," Když byl za humny, praštil s ním o zem, jednou nohou mu přišlápl krk a řekl :"
"put","put","řekl","říci","pf"," When he reached the yard in front of the house, he flung him to the ground, put a foot on his neck, and said to him roughly :"," Když byl za humny, praštil s ním o zem, jednou nohou mu přišlápl krk a řekl :"
"said","say","řekl","říci","pf"," When he reached the yard in front of the house, he flung him to the ground, put a foot on his neck, and said to him roughly :"," Když byl za humny, praštil s ním o zem, jednou nohou mu přišlápl krk a řekl :"
"came","come","přišla","přijít","pf"," Suddenly a huge wave came and the boat disappeared."," Najednou přišla obrovská vlna - a loďka zmizela."
"disappeared","disappear","zmizela","zmizet","pf"," Suddenly a huge wave came and the boat disappeared."," Najednou přišla obrovská vlna - a loďka zmizela."
"waited","wait","Čekali","čekat","impf"," They waited and waited for it, but it was gone."," Čekali, až se znovu vynoří na hladinu, ale loďka nikde."
"waited","wait","Čekali","čekat","impf"," They waited and waited for it, but it was gone."," Čekali, až se znovu vynoří na hladinu, ale loďka nikde."
"asked","ask","zeptal","zeptat","pf"," "" What has happened? "" asked Pinocchio of a little old woman."," "" Co se stalo? "" zeptal se Pinocchio jedné stařenky."
"lost","lose","ztratil","ztratit","pf"," "" A poor old father lost his only son some time ago and today he built a tiny boat for himself in order to go in search of him across the ocean."," "" Stalo se, že jeden ubohý tatínek ztratil synka, a tak vsedl do loďky a vydal se ho hledat za moře."
"swam","swim","plaval","plavat","impf"," And Pinocchio swam desperately with his arms, his body, his legs, his feet."," A Pinocchio zoufale plaval pažemi, hrudníkem, nohama i chodidly."
"swam","swim","plaval","plavat","impf"," Pinocchio swam faster and faster, and harder and harder."," A Pinocchio sebral všechny síly a plaval jako o život."
"do","do","udělám","udělat","pf"," I listen, but always I do as I wish."," Nechám druhé, jen ať si mluví, a potom si stejně všechno vždycky udělám po svém!"
"passed","pass","ubíhaly","ubíhat","impf"," What with entertainments and parties, the hours, the days, the weeks passed like lightning."," A v neustálých zábavách a nesčetných hrách ubíhaly hodiny, dny a týdny jako voda."
"turned","turn","otočil","otočit","pf"," On hearing himself called Polendina, Mastro Geppetto turned the color of a red pepper and, facing the carpenter, said to him angrily :"," Když kmotr Geppetto slyšel, že ho oslovují Kukuřičko, zrudl vzteky jako krocan, otočil se k truhláři a rozzlobeně zvolal :"
"called","call","zvolal","zvolat","pf"," On hearing himself called Polendina, Mastro Geppetto turned the color of a red pepper and, facing the carpenter, said to him angrily :"," Když kmotr Geppetto slyšel, že ho oslovují Kukuřičko, zrudl vzteky jako krocan, otočil se k truhláři a rozzlobeně zvolal :"
"insult","insult","urážíte","urážet","impf"," "" Why do you insult me? """," "" Proč mě urážíte? """
"insulting","insult","uráží","urážet","impf"," "" Who is insulting you? """," "" Kdo vás tu uráží? """
"threw","throw","vrhl","vrhnout","pf"," And Pinocchio threw himself on the floor and clasped the knees of the mysterious little woman."," A když to Pinocchio říkal, usedavě se rozplakal a pak se vrhl na zem a objal té tajemné ženušce kolena."
"clasped","clasp","objal","obejmout","pf"," And Pinocchio threw himself on the floor and clasped the knees of the mysterious little woman."," A když to Pinocchio říkal, usedavě se rozplakal a pak se vrhl na zem a objal té tajemné ženušce kolena."
"promises","promise","slíbí","slíbit","pf"," Pinocchio promises the Fairy to be good and to study, as he is growing tired of being a Marionette, and wishes to become a real boy"," Pinocchio víle slíbí, že bude hodný a že se bude učit, protože už ho nebaví být panáčkem a chce se stát slušným chlapcem"
"study","study","učit","učit","impf"," Pinocchio promises the Fairy to be good and to study, as he is growing tired of being a Marionette, and wishes to become a real boy"," Pinocchio víle slíbí, že bude hodný a že se bude učit, protože už ho nebaví být panáčkem a chce se stát slušným chlapcem"
"wishes","wish","chce","chtít","impf"," Pinocchio promises the Fairy to be good and to study, as he is growing tired of being a Marionette, and wishes to become a real boy"," Pinocchio víle slíbí, že bude hodný a že se bude učit, protože už ho nebaví být panáčkem a chce se stát slušným chlapcem"
"do","do","udělat","udělat","pf"," "" What do you want me to do? """," "" A co mám udělat, abyste byli spokojení? """
"do","do","udělat","udělat","pf"," "" What do you want me to do? """," "" A co mám udělat, abyste byli spokojení? """
"studying","study","učit","učit","impf"," "" And if I go on studying, what will you do to me? """," "" A co kdybych se chtěl učit dál? """
"die","die","umřela","umřít","pf"," "" Oh, my Fairy, my dear, dear Fairy, why did you die?"," "" Ach, moje malá vílo, proč jsi mi jen umřela?"
"die","die","neumřel","umřít","pf"," Why did I not die, who am so bad, instead of you, who are so good?"," Proč jsem místo tebe neumřel já, když jsem tak zlobivý, a ty jsi byla tak hodná?"
"presents","present","představiti","představit","pf"," "" Your humble servant, the Manager of this theater, presents himself before you tonight in order to introduce to you the greatest, the most famous Donkey in the world, a Donkey that has had the great honor in his short life of performing before the kings and queens and emperors of all the great courts of Europe."," Ježto má maličkost právě projíždí tímto slovutným velkoměstem, mám tu počestnost a potěšení představiti tomuto inteligentnímu a vznosnému posluchačstvu proslulého oslíka, kterýžto již měl tu čest tančit před Jeho Veličenstvem císařem všech hlavních evropských dvorů."
"introduce","introduce","představiti","představit","pf"," "" Your humble servant, the Manager of this theater, presents himself before you tonight in order to introduce to you the greatest, the most famous Donkey in the world, a Donkey that has had the great honor in his short life of performing before the kings and queens and emperors of all the great courts of Europe."," Ježto má maličkost právě projíždí tímto slovutným velkoměstem, mám tu počestnost a potěšení představiti tomuto inteligentnímu a vznosnému posluchačstvu proslulého oslíka, kterýžto již měl tu čest tančit před Jeho Veličenstvem císařem všech hlavních evropských dvorů."
"spoil","spoil","pokazí","pokazit","pf"," Unluckily, in a Marionette 's life there 's always a BUT which is apt to spoil everything."," Naneštěstí se v životě panáčků vždycky vyskytne nějaké jenže, které všechno pokazí."
"shrieking","shriek","křičeli","křičet","impf"," The shore was full of people, shrieking and tearing their hair as they looked toward the sea."," Pláž byla plná lidí, všichni upírali oči na moře, křičeli a gestikulovali."
"find","find","najdeš","najít","pf"," "" In fact you 'll find one not far from this spot. """," "" Jednu takovou najdeš zrovna kousek odsud. """
"Tell","tell","Řekněte","říci","pf"," "" Tell me another thing."," "" Řekněte mi ještě jednu věc."
"meet","meet","nepotkala","potkat","pf"," You who travel day and night through the sea, did you not perhaps meet a little boat with my father in it? """," Když se tak celé dny a noci proháníte po moři, nepotkala jste náhodou malou loďku s mým tatínkem uvnitř? """
"steals","steal","krade","krást","impf"," "" He who steals grapes may very easily steal chickens also."," "" Kdo krade hrozny, klidně ukradne i kuřata."
"steal","steal","krade","krást","impf"," "" He who steals grapes may very easily steal chickens also."," "" Kdo krade hrozny, klidně ukradne i kuřata."
"steals","steal","ukradne","ukrást","pf"," "" He who steals grapes may very easily steal chickens also."," "" Kdo krade hrozny, klidně ukradne i kuřata."
"steal","steal","ukradne","ukrást","pf"," "" He who steals grapes may very easily steal chickens also."," "" Kdo krade hrozny, klidně ukradne i kuřata."
"give","give","dám","dát","pf"," Take my word for it, I 'll give you a lesson that you 'll remember for a long while. """," Jen počkej, já ti dám za vyučenou, že na to do smrti nezapomeneš. """
