"saw","see","uviděl","uvidět","pf"," Then he saw the corn and the meat and the potatoes."," Potom uviděl kukuřici, maso a brambory."
"waiting","wait","čeká","čekat","impf"," He is watching her, waiting for her to say more, but there is nothing more about the English patient to be said."," Pozoruje ji, čeká, že mu Hana řekne něco víc, ale ta nemá nic, co by ještě o tom anglickém pacientovi dodala."
"say","say","řekne","říci","pf"," He is watching her, waiting for her to say more, but there is nothing more about the English patient to be said."," Pozoruje ji, čeká, že mu Hana řekne něco víc, ale ta nemá nic, co by ještě o tom anglickém pacientovi dodala."
"said","say","řekne","říci","pf"," He is watching her, waiting for her to say more, but there is nothing more about the English patient to be said."," Pozoruje ji, čeká, že mu Hana řekne něco víc, ale ta nemá nic, co by ještě o tom anglickém pacientovi dodala."
"mutters","mutter","zamumlá","zamumlat","pf"," He mutters."," Caravaggio zamumlá :"
"shake","shake","třást","třást","impf"," Do n't shake, you have to be a still bed for me, let me curl up as if you were a good grandfather I could hug, I love the word ' curl, ' such a slow word, you ca n't rush it ... """," Nesmíte se třást, musíte být pro mě taková poklidná postýlka, a já se k vám přitulím, ano? - jako byste byl hodný dědeček, kterého můžu obejmout, mám moc ráda to slovo ' přitulit se ', takové pomalé slovo, nejde je uspěchat ... """
"hug","hug","obejmout","obejmout","pf"," Do n't shake, you have to be a still bed for me, let me curl up as if you were a good grandfather I could hug, I love the word ' curl, ' such a slow word, you ca n't rush it ... """," Nesmíte se třást, musíte být pro mě taková poklidná postýlka, a já se k vám přitulím, ano? - jako byste byl hodný dědeček, kterého můžu obejmout, mám moc ráda to slovo ' přitulit se ', takové pomalé slovo, nejde je uspěchat ... """
"Do","do","nejde","jít","impf"," Do n't shake, you have to be a still bed for me, let me curl up as if you were a good grandfather I could hug, I love the word ' curl, ' such a slow word, you ca n't rush it ... """," Nesmíte se třást, musíte být pro mě taková poklidná postýlka, a já se k vám přitulím, ano? - jako byste byl hodný dědeček, kterého můžu obejmout, mám moc ráda to slovo ' přitulit se ', takové pomalé slovo, nejde je uspěchat ... """
"lay","lie","Ležel","ležet","impf"," He lay with her on the ground as still as he had to, his eyes clear, looking up into a branch."," Ležel s ní na zemi tak poklidně, jak si žádala, jasnýma očima hleděl vzhůru na větev."
"looking","look","hleděl","hledět","impf"," He lay with her on the ground as still as he had to, his eyes clear, looking up into a branch."," Ležel s ní na zemi tak poklidně, jak si žádala, jasnýma očima hleděl vzhůru na větev."
"hear","hear","Slyšel","slyšet","impf"," He could hear her deep breath."," Slyšel Hanu zhluboka oddechovat."
"revealed","reveal","ukáží","ukázat","pf"," In the small towns of Varese and Varallo, larger-than-life terra-cotta figures carved in the 1600s are revealed briefly, depicting biblical scenes."," V městečkách Varese a Varallo se krátce ukáží terakotové postavy v nadživotní velikosti, vytvořené začátkem sedmnáctého století, které zobrazují biblické scény."
"depicting","depict","zobrazují","zobrazovat","impf"," In the small towns of Varese and Varallo, larger-than-life terra-cotta figures carved in the 1600s are revealed briefly, depicting biblical scenes."," V městečkách Varese a Varallo se krátce ukáží terakotové postavy v nadživotní velikosti, vytvořené začátkem sedmnáctého století, které zobrazují biblické scény."
"raising","raise","zdvihají","zdvihat","impf"," The bound arms of the scourged Christ pulled back, the whip coming down, the baying dog, three soldiers in the next chapel tableau raising the crucifix higher towards the painted clouds."," Za svázané paže je zdeptaný Kristus strhávám k zemi, bič dopadá, psi štěkají, na malbě ve vedlejší kapli tři vojáci zdvihají kříž k namalovaným oblakům."
"watched","watch","sledoval","sledovat","impf"," But the club of body- guards watched over her husband and kept him protected."," Avšak klub osobních strážců jejího manžela sledoval a chránil."
"kept","keep","chránil","chránit","impf"," But the club of body- guards watched over her husband and kept him protected."," Avšak klub osobních strážců jejího manžela sledoval a chránil."
"protected","protect","chránil","chránit","impf"," But the club of body- guards watched over her husband and kept him protected."," Avšak klub osobních strážců jejího manžela sledoval a chránil."
"warned","warn","varoval","varovat","impf"," Only Madox, with considerable tact, warned me about such a world."," Jedině Madox mě se značným taktem před takovým světem varoval."
"carried","carry","Nosil","nosit","impf"," I carried Herodotus, and Madox-a saint in his own marriage-carried Anna Karenina, continually rereading the story of romance and deceit."," Nosil jsem u sebe Herodota a Madox - ve svém vlastním manželství světec - nosil Annu Kareninovou a stále znovu si četl tu historii velké lásky a klamu."
"carried","carry","nosil","nosit","impf"," I carried Herodotus, and Madox-a saint in his own marriage-carried Anna Karenina, continually rereading the story of romance and deceit."," Nosil jsem u sebe Herodota a Madox - ve svém vlastním manželství světec - nosil Annu Kareninovou a stále znovu si četl tu historii velké lásky a klamu."
"pretend","pretend","předstírala","předstírat","impf"," She would pretend disgust, but the dog 's paw was a wonder : the smell of it never suggested dirt."," Ona předstírala znechucení, ale psí tlapky byly skutečně zázrak : nepáchly nikdy špínou."
"said","say","říkal","říkat","impf"," It 's a cathedral! her father had said, so- and-so 's garden, that field of grasses, a walk through cyclamen-a concentration of hints of all the paths the animal had taken during the day."," Učiněná katedrála! říkal tehdy její otec, jako ta zahrada, víš čí, jako louka plná travin, procházka mezi bramboříky - prostě nashromážděné připomínky všech cest, kudy to zvíře během dne prošlo."
"led","lead","vedly","vést","impf"," Between the kitchen and the destroyed chapel a door led into an oval-shaped library."," Mezi kuchyní a zničenou kaplí vedly dveře do oválné knihovny."
"seemed","seem","zdál","zdát","impf"," The space inside seemed safe except for a large hole at portrait level in the far wall, caused by mortar-shell attack on the villa two months earlier."," Vnitřní prostor se zdál v pořádku až na velkou díru v rovině prsou na zadní stěně, kterou způsobilo ostřelování vily minometem přede dvěma měsíci."
"caused","cause","způsobilo","způsobit","pf"," The space inside seemed safe except for a large hole at portrait level in the far wall, caused by mortar-shell attack on the villa two months earlier."," Vnitřní prostor se zdál v pořádku až na velkou díru v rovině prsou na zadní stěně, kterou způsobilo ostřelování vily minometem přede dvěma měsíci."
"adapted","adapt","přizpůsobil","přizpůsobit","pf"," The rest of the room had adapted itself to this wound, accepting the habits of weather, evening stars, the sound of birds."," Zbytek místnosti se přizpůsobil téhle ráně, smířil se s proměnami počasí, večerními hvězdami, zpěvem ptáků."
"see","see","neviděl","vidět","impf"," Caravaggio did not see all this."," Caravaggio z toho nic neviděl."
"returned","return","vrátil","vrátit","pf"," When he returned he found Hana and the two soldiers from a sapper unit in the kitchen making up sandwiches."," Když se vrátil, objevil v kuchyni Hanu a dva vojáky od ženistů, chystali tam sendviče."
"found","find","objevil","objevit","pf"," When he returned he found Hana and the two soldiers from a sapper unit in the kitchen making up sandwiches."," Když se vrátil, objevil v kuchyni Hanu a dva vojáky od ženistů, chystali tam sendviče."
"stepping","step","jde","jít","impf"," Kip stepping out each morning with his satchel hanging off his left shoulder and walking the path away from the Villa San Girolamo."," Kip vykročí každé ráno s brašnou zavěšenou přes levé rameno a jde po cestě pryč od Villy San Girolamo."
"walking","walk","jde","jít","impf"," Kip stepping out each morning with his satchel hanging off his left shoulder and walking the path away from the Villa San Girolamo."," Kip vykročí každé ráno s brašnou zavěšenou přes levé rameno a jde po cestě pryč od Villy San Girolamo."
"walked","walk","kráčet","kráčet","impf"," Pliny must have walked down a path like this, or Stendahl, because passages in The Charterhouse of Parma had occurred in this part of the world too."," Plinius musel kráčet takovou cestou, anebo Stendhal, protože pasáže Kartouzy parmské se také odehrávaly v této části světa."
"come","come","Přišel","přijít","pf"," He had come from a country where mathematics and mechanics were natural traits."," Přišel totiž ze země, kde matematika a mechanika patřily k přirozeným schopnostem."
"destroyed","destroy","neničila","ničit","impf"," Cars were never destroyed."," Auta se nikdy neničila."
"carry","carry","nosila","nosit","impf"," Most people in his village were more likely to carry a spanner or screwdriver than a pencil."," Většina lidí u něho ve vesnici s sebou nosila spíše klíč na matice nebo šroubovák než tužku."
"hear","hear","slyší","slyšet","impf"," They can hear the gramophone songs in the distance from the Music for All cinema, its windows open for the heat."," V dálce slyší gramofonem reprodukované písně z kinosálu Hudba pro všechny, který má okna kvůli vedru dokořán."
"closes","close","zavřou","zavřít","pf"," They will have to part before that closes up and people she might know emerge from there."," Musí se spolu rozloučit, než tam zavřou a než se odtamtud vynoří lidé, které ona možná zná."
"sees","see","zahlédne","zahlédnout","pf"," She sees one tear and leans forward and licks it, taking it into her mouth."," Ona zahlédne jednu slzu, natáhne se a olízne ji, slza mizí v jejích ústech."
