"broke","break","zlomil","zlomit","pf"," The boy in the house threw a stone at me and broke it. """," Chlapec z domu hodil po mně kamenem a zlomil mi je! """
"go","go","jít","jít","impf"," Kala Nag will obey none but me, so I must go with him into the Keddah, but he is only a fighting elephant, and he does not help to rope them."," Kala Nag neposlechne nikoho mimo mne, musím tedy jít s ním do "" keddy "" ale on je pouze bojovným slonem a nepomáhá při vázání divokých slonův."
"does","do","jít","jít","impf"," Kala Nag will obey none but me, so I must go with him into the Keddah, but he is only a fighting elephant, and he does not help to rope them."," Kala Nag neposlechne nikoho mimo mne, musím tedy jít s ním do "" keddy "" ale on je pouze bojovným slonem a nepomáhá při vázání divokých slonův."
"help","help","nepomáhá","pomáhat","impf"," Kala Nag will obey none but me, so I must go with him into the Keddah, but he is only a fighting elephant, and he does not help to rope them."," Kala Nag neposlechne nikoho mimo mne, musím tedy jít s ním do "" keddy "" ale on je pouze bojovným slonem a nepomáhá při vázání divokých slonův."
"sit","sit","sedím","sedět","impf"," So I sit at my ease, as befits a mahout, - not a mere hunter, - a mahout, I say, and a man who gets a pension at the end of his service."," A tak sedím na něm pohodlně, jak se sluší mahutovi, a ne pouhému honci - povídám mahutovi, muži, který ke konci svých služeb dostane výslužné."
"say","say","povídám","povídat","impf"," So I sit at my ease, as befits a mahout, - not a mere hunter, - a mahout, I say, and a man who gets a pension at the end of his service."," A tak sedím na něm pohodlně, jak se sluší mahutovi, a ne pouhému honci - povídám mahutovi, muži, který ke konci svých služeb dostane výslužné."
"gets","get","dostane","dostat","pf"," So I sit at my ease, as befits a mahout, - not a mere hunter, - a mahout, I say, and a man who gets a pension at the end of his service."," A tak sedím na něm pohodlně, jak se sluší mahutovi, a ne pouhému honci - povídám mahutovi, muži, který ke konci svých služeb dostane výslužné."
"trodden","tread","šlapána","šlapat","impf"," Is the family of Toomai of the Elephants to be trodden underfoot in the dirt of a Keddah?"," Což má být rodina sloního Tumé šlapána ve špíně "" keddy ""?"
"slipping","slip","klouzaje","klouzat","impf"," Behind the mule there was a camel, with his big soft feet squelching and slipping in the mud, and his neck bobbing to and fro like a strayed hen 's."," Za mezkem šel velbloud klouzaje a uvízaje v blátě svými měkkými velkými nohami a klátě krkem sem a tam jako zbloudilá slepice."
"saying","say","povídají","povídat","impf"," Luckily, I knew enough of beast language - not wild-beast language, but camp-beast language, of course - from the natives to know what he was saying."," Na štěstí jsem se dostatečně vyznal v řeči zvířat - ne v řeči divoké zvěře ovšem, ale v řeči vojenských zvířat - což jsem pochytil od domorodců tolik, abych věděl, co si povídají."
"go","go","jít","jít","impf"," Where shall I go?"," Kam mám teď jít?"
"began","begin","počal","počít","pf"," Kala Nag swashed out of the water, blew his trunk clear, and began another climb;"," Kala Nag vybředl z vody, profrkl si chobot a počal opět stoupat."
"trying","try","snažila","snažit","impf"," That was made already, six feet wide, in front of him, where the bent jungle-grass was trying to recover itself and stand up."," Byla již proražena, šest stop z šíří, přímo před ním, a zohýbaná džunglí tráva se snažila znovu pozdvihnout a narovnat."
"do","do","dělati","dělat","impf"," "" You do n't know when to do the right thing at the right time."," "" Nedovedeš dělati pravou věc v pravý čas."
"do","do","dělati","dělat","impf"," "" You do n't know when to do the right thing at the right time."," "" Nedovedeš dělati pravou věc v pravý čas."
"Stop","stop","Přestaň","přestat","pf"," Stop singing a minute, Darzee. """," Přestaň přece na chvíli se svým zpěvem, Darzy. """
"stop","stop","přestanu","přestat","pf"," "" For the great, the beautiful Rikki-tikki 's sake I will stop, "" said Darzee."," "" Pro velkého, krásného Riki - Tikiho přestanu zpívat, "" dozpíval Darzy."
"learn","learn","nenaučí","naučit","pf"," Little seals can no more swim than little children, but they are unhappy till they learn."," Malí lachtani neumějí právě tak plovat jako malé děti, ale jsou celí nešťastní, dokud se tomu nenaučí."
"move","move","hnouti","hnout","pf"," They dare not move, and if you come a step nearer I strike. """," Neodváží se ani hnouti, a přijdeš - li jen o krůček blíže, uštknu. """
"come","come","přijdeš","přijít","pf"," They dare not move, and if you come a step nearer I strike. """," Neodváží se ani hnouti, a přijdeš - li jen o krůček blíže, uštknu. """
"Look","look","Pohlédni","pohlédnout","pf"," "" Look at your eggs, "" said Rikki-tikki, "" in the melon-bed near the wall."," "" Pohlédni na svá vejce, "" řekl Riki - Tiki, "" pohlédni na svá vejce v melounovém záhonu u zdi."
"said","say","řekl","říci","pf"," "" Look at your eggs, "" said Rikki-tikki, "" in the melon-bed near the wall."," "" Pohlédni na svá vejce, "" řekl Riki - Tiki, "" pohlédni na svá vejce v melounovém záhonu u zdi."
"Look","look","pohlédni","pohlédnout","pf"," "" Look at your eggs, "" said Rikki-tikki, "" in the melon-bed near the wall."," "" Pohlédni na svá vejce, "" řekl Riki - Tiki, "" pohlédni na svá vejce v melounovém záhonu u zdi."
"Go","go","Jdi","jít","impf"," Go and look, Nagaina. """," Jdi, a podívej se, Nagaino! """
"turned","turn","obrátil","obrátit","pf"," The big snake turned half round, and saw the egg on the veranda."," Veliký had se napolo obrátil a uzřel vejce na verandě."
"put","put","položil","položit","pf"," Rikki-tikki put his paws one on each side of the egg, and his eyes were blood-red."," Riki - Tiki položil obě nohy na vejce, každou s jedné strany, a oči mu zrudly do krvava."
"remembered","remember","vzpomněl","vzpomenout","pf"," Then he remembered in a flash what the Burgomaster Gull had screamed to him when he was a little yearling at Walrus islet, and he tumbled backward in the water, for he knew that he had found Sea Cow at last."," Tu si mžikem vzpomněl, co mu vykřikoval buřňák, dokud byl malým jednoročákem na Mrožím Ostrůvku a překotil se radostí zpět do vody, neboť poznal, že konečně našel Mořské Krávy!"
"screamed","scream","vykřikoval","vykřikovat","impf"," Then he remembered in a flash what the Burgomaster Gull had screamed to him when he was a little yearling at Walrus islet, and he tumbled backward in the water, for he knew that he had found Sea Cow at last."," Tu si mžikem vzpomněl, co mu vykřikoval buřňák, dokud byl malým jednoročákem na Mrožím Ostrůvku a překotil se radostí zpět do vody, neboť poznal, že konečně našel Mořské Krávy!"
"found","find","našel","najít","pf"," Then he remembered in a flash what the Burgomaster Gull had screamed to him when he was a little yearling at Walrus islet, and he tumbled backward in the water, for he knew that he had found Sea Cow at last."," Tu si mžikem vzpomněl, co mu vykřikoval buřňák, dokud byl malým jednoročákem na Mrožím Ostrůvku a překotil se radostí zpět do vody, neboť poznal, že konečně našel Mořské Krávy!"
"going","go","Půjdu","jít","impf"," "" I am going to follow, "" he said, and his eyes nearly popped out of his head as he shuffled along in the wake of the herd."," "" Půjdu za nimi, "" řekl Kotík, a oči div mu nevyskočily z hlavy, jak se šoural za stádem."
"said","say","řekl","říci","pf"," "" I am going to follow, "" he said, and his eyes nearly popped out of his head as he shuffled along in the wake of the herd."," "" Půjdu za nimi, "" řekl Kotík, a oči div mu nevyskočily z hlavy, jak se šoural za stádem."
"coming","come","jde","jít","impf"," "" The white seal is coming after us, "" said Patalamon."," "" Bílý lachtan jde za námi, "" zvolal Pantalamon."
"come","come","přišel","přijít","pf"," "" That 's the first time a seal has ever come to the killing-grounds alone. """," "" To je poprvé, co přišel lachtan sám k porážkám! """
"speak","speak","promluviti","promluvit","pf"," I must speak to the priest about this. """," Musím o tom promluviti s knězem. """
"Go","go","Jdi","jít","impf"," Go and play in the sea, Kotick. """," Jdi a hraj si v moři, Kotíku. """
"play","play","hraj","hrát","impf"," Go and play in the sea, Kotick. """," Jdi a hraj si v moři, Kotíku. """
"went","go","šel","jít","impf"," And Kotick went off and danced the Fire-dance with a very heavy little heart."," A tak Kotík šel a tančil ohnivý tanec s velice těžkým srdéčkem."
"danced","dance","tančil","tančit","impf"," And Kotick went off and danced the Fire-dance with a very heavy little heart."," A tak Kotík šel a tančil ohnivý tanec s velice těžkým srdéčkem."
"left","leave","opustil","opustit","pf"," That autumn he left the beach as soon as he could, and set off alone because of a notion in his bullet-head."," Tohoto podzimu opustil břeh, jakmile mohl, a pustil se na cesty samoten, protože měl v kulovité své hlavě myšlenku."
"going","go","Šel","jít","impf"," He was going to find Sea Cow, if there was such a person in the sea, and he was going to find a quiet island with good firm beaches for seals to live on, where men could not get at them."," Šel hledat Mořské Krávy, ač - li jsou v moři takoví tvorové, a chtěl vyhledat v moři tichý ostrov s dobrým pevným břehem, kde by mohli lachtani žíti a kde by k nim lidé nemohli."
"going","go","Šel","jít","impf"," He was going to find Sea Cow, if there was such a person in the sea, and he was going to find a quiet island with good firm beaches for seals to live on, where men could not get at them."," Šel hledat Mořské Krávy, ač - li jsou v moři takoví tvorové, a chtěl vyhledat v moři tichý ostrov s dobrým pevným břehem, kde by mohli lachtani žíti a kde by k nim lidé nemohli."
"find","find","vyhledat","vyhledat","pf"," He was going to find Sea Cow, if there was such a person in the sea, and he was going to find a quiet island with good firm beaches for seals to live on, where men could not get at them."," Šel hledat Mořské Krávy, ač - li jsou v moři takoví tvorové, a chtěl vyhledat v moři tichý ostrov s dobrým pevným břehem, kde by mohli lachtani žíti a kde by k nim lidé nemohli."
