"give","give","dáš","dát","pf"," "" And you 're ready to give it to us? "" urged Loonquawl."," "" A ty nám ji dáš? "" loudil Lúnkvól."
"come","come","jde","jít","impf"," in fact it was probably the most remarkable book ever to come out of the great publishing houses of Ursa Minor - of which no Earthman had ever heard either."," Možná že jde dokonce o nejpozoruhodnější knihu, jakou kdy vydalo mamutí nakladatelství v Malém medvědu, o němž rovněž žádný pozemšťan nikdy neslyšel."
"heard","hear","neslyšel","slyšet","impf"," in fact it was probably the most remarkable book ever to come out of the great publishing houses of Ursa Minor - of which no Earthman had ever heard either."," Možná že jde dokonce o nejpozoruhodnější knihu, jakou kdy vydalo mamutí nakladatelství v Malém medvědu, o němž rovněž žádný pozemšťan nikdy neslyšel."
"breathed","breathe","Vydechl","vydechnout","pf"," He breathed a silent thank you to the Dentrassis."," Vydechl sotva slyšitelné poděkování Dentrassiovi."
"handed","hand","podal","podat","pf"," Ford handed the book to Arthur."," Ford podal Arthurovi knihu."
"asked","ask","zeptal","zeptat","pf"," "" What is it? "" asked Arthur."," "" Co je to? "" zeptal se Arthur."
"reflect","reflect","odráží","odrážet","impf"," Looked at from the correct angles the mirrors appeared to reflect all the required data readouts, though it was far from clear where they were reflected from."," Při pohledu ze správného úhlu do vypadalo, že se v zrcadlech odráží obrazovky se všemi potřebnými údaji, ačkoli nebylo ani zdaleka jasné, odkud se vlastně odrážejí."
"reflected","reflect","odráží","odrážet","impf"," Looked at from the correct angles the mirrors appeared to reflect all the required data readouts, though it was far from clear where they were reflected from."," Při pohledu ze správného úhlu do vypadalo, že se v zrcadlech odráží obrazovky se všemi potřebnými údaji, ačkoli nebylo ani zdaleka jasné, odkud se vlastně odrážejí."
"reflect","reflect","odrážejí","odrážet","impf"," Looked at from the correct angles the mirrors appeared to reflect all the required data readouts, though it was far from clear where they were reflected from."," Při pohledu ze správného úhlu do vypadalo, že se v zrcadlech odráží obrazovky se všemi potřebnými údaji, ačkoli nebylo ani zdaleka jasné, odkud se vlastně odrážejí."
"reflected","reflect","odrážejí","odrážet","impf"," Looked at from the correct angles the mirrors appeared to reflect all the required data readouts, though it was far from clear where they were reflected from."," Při pohledu ze správného úhlu do vypadalo, že se v zrcadlech odráží obrazovky se všemi potřebnými údaji, ačkoli nebylo ani zdaleka jasné, odkud se vlastně odrážejí."
"shooting","shoot","řítili","řítit","impf"," The insane blur of silver was the circular wall of the tunnel down which they were shooting, apparently at several hundred miles an hour."," Nadskutečný stříbrný přísvit vydávala kruhová zeď tunelu, kterým se teď řítili rychlostí několika set kilometrů v hodině."
"closed","close","zavřel","zavřít","pf"," He closed his eyes in terror."," V hrůze zavřel oči."
"accompanied","accompany","doprovázelo","doprovázet","impf"," The voice was low and hopeless and accompanied by a slight clanking sound."," Byl to nešťastný hlas beze stopy naděje a doprovázelo ho slabounké klinkání."
"talk","talk","nemluvte","mluvit","impf"," Just do n't even talk about it."," Radši snad o tom ani nemluvte."
"said","say","řekl","říci","pf"," Look at this door, "" he said, stepping through it."," Vezměte si třeba tyhle dveře, "" řekl a prošel jimi."
"lie","lie","ležet","ležet","impf"," "" Well, I 've just got all these bulldozers and things to lie in front of because they 'll knock my house down if I do n't, but other than that ... well, no not especially, why? """," "" No, jenom musím ležet před všemi tady těmi buldozery, nebo co to je, protože, když to neudělám, tak mi zbourají dům, ale jinak ... vlastně ani ne, proč? """
"do","do","neudělám","udělat","pf"," "" Well, I 've just got all these bulldozers and things to lie in front of because they 'll knock my house down if I do n't, but other than that ... well, no not especially, why? """," "" No, jenom musím ležet před všemi tady těmi buldozery, nebo co to je, protože, když to neudělám, tak mi zbourají dům, ale jinak ... vlastně ani ne, proč? """
"continued","continue","pokračoval","pokračovat","impf"," The computer continued, brash and cheery as if it was selling detergent."," Počítač pokračoval s veselou drzostí, jako by prodával prací prášek."
"selling","sell","prodával","prodávat","impf"," The computer continued, brash and cheery as if it was selling detergent."," Počítač pokračoval s veselou drzostí, jako by prodával prací prášek."
"want","want","Chci","chtít","impf"," "" I want you to know that whatever your problem, I am here to help you solve it. """," "" Chci ti jen říct, že ať máš jakékoliv problémy, jsem tady od toho, abych ti je pomohl vyřešit. """
"help","help","pomohl","pomoci","pf"," "" I want you to know that whatever your problem, I am here to help you solve it. """," "" Chci ti jen říct, že ať máš jakékoliv problémy, jsem tady od toho, abych ti je pomohl vyřešit. """
"solve","solve","vyřešit","vyřešit","pf"," "" I want you to know that whatever your problem, I am here to help you solve it. """," "" Chci ti jen říct, že ať máš jakékoliv problémy, jsem tady od toho, abych ti je pomohl vyřešit. """
"Look","look","Koukni","kouknout","pf"," "" Look, I think I 'll just use a piece of paper. """," Koukni, já si asi radši vezmu kus papíru. """
"want","want","chtít","chtít","impf"," If you ever want ... """," Ale kdykoliv budeš chtít ... """
"say","say","říká","říkat","impf"," The Hitch Hiker 's Guide to the Galaxy has a few things to say on the subject of towels."," Pokud jde o ručníky, Stopařův průvodce po Galaxii o nich říká hned několik věcí."
"wrap","wrap","zabalit","zabalit","pf"," Partly it has great practical value - you can wrap it around you for warmth as you bound across the cold moons of Jaglan Beta;"," Především má značnou praktickou cenu - můžete se například do něj zabalit, aby vám nebylo zima, když poskakujete napříč chladnými měsíci planety Jaglan Beta."
"flashing","flash","řítil","řítit","impf"," Far away on the opposite spiral arm of the Galaxy, five hundred thousand light years from the star Sol, Zaphod Beeblebrox, President of the Imperial Galactic Government, sped across the seas of Damogran, his ion drive delta boat winking and flashing in the Damogran sun."," Kdesi daleko, v protilehlém spirálním rameni Galaxie, pět set tisíc světelných let od hvězdy Sol, se Zafod Bíblbrox, prezident Imperiální galaktické vlády, řítil přes damogranská moře v iontové poháněném deltačlunu, blyštícím a třpytícím se v damogranském slunci."
"left","leave","nechali","nechat","pf"," Then, one day, a student who had been left to sweep up the lab after a particularly unsuccessful party found himself reasoning this way :"," A pak jednoho dne jakýsi studentík, kterého nechali uklízet laboratoř po jednom zvlášť nepovedeném večírku, začal uvažovat asi takhle :"
"reasoning","reason","uvažovat","uvažovat","impf"," Then, one day, a student who had been left to sweep up the lab after a particularly unsuccessful party found himself reasoning this way :"," A pak jednoho dne jakýsi studentík, kterého nechali uklízet laboratoř po jednom zvlášť nepovedeném večírku, začal uvažovat asi takhle :"
"give","give","zadat","zadat","pf"," So all I have to do in order to make one is to work out exactly how improbable it is, feed that figure into the finite improbability generator, give it a fresh cup of really hot tea ... and turn it on!"," Takže stačí vypočítat přesně, jak je to nepravděpodobné, zadat výsledek generátoru konečné nepravděpodobnosti, nalít mu pořádný šálek horkého čaje a ... zapnout ho!"
"turn","turn","zapnout","zapnout","pf"," So all I have to do in order to make one is to work out exactly how improbable it is, feed that figure into the finite improbability generator, give it a fresh cup of really hot tea ... and turn it on!"," Takže stačí vypočítat přesně, jak je to nepravděpodobné, zadat výsledek generátoru konečné nepravděpodobnosti, nalít mu pořádný šálek horkého čaje a ... zapnout ho!"
"want","want","Chceš","chtít","impf"," "" You want to try a guess at all, Ford? """," "" Chceš si zkusit tipnout směr, Forde? """
"try","try","zkusit","zkusit","pf"," "" You want to try a guess at all, Ford? """," "" Chceš si zkusit tipnout směr, Forde? """
"said","say","odpověděl","odpovědět","pf"," "" OK, this way, "" said Ford, and the four of them ran down a gangway between two computer banks."," "" Třeba tudy, "" odpověděl Ford a všichni čtyři se rozběhli uličkou mezi počítačovými terminály."
"appeared","appear","objevila","objevit","pf"," At the end of the gangway appeared a heavily armoured and spacesuited figure waving a vicious Kill-O-Zap gun."," Na jejím konci se objevila po zuby ozbrojená oskafandrovaná postava mávající zlověstně vyhlížející vraždomatickou pistolí."
"began","begin","začalo","začít","pf"," Arthur began to feel that Ford was enjoying making life difficult for him."," Arthurovi začalo připadat, že se mu Ford schválně snaží zamotat hlavu."
