"thought","think","myslel","myslet","impf"," "" I thought I saw children. """," "" A já si myslel, že vidím děti. """
"share","share","dělit","dělit","impf"," Her plan was to hire local teenagers at minimum wage, teach them the rudiments of organic gardening, and let them share the profits from whatever vegetables they could sell."," Měla v plánu najmout za minimální mzdu místní výrostky, naučit je základům pěstování rostlin a dělit se s nimi o všechny výnosy z prodeje zeleniny, která se jim případně urodí."
"released","release","propustili","propustit","pf"," The year before Denise met Robin, Billy was released on parole and attended a ribbon-cutting ceremony for a Community Computing Center in the poor near-north neighborhood of Nicetown."," Mnoho let před tím, než se Denisa seznámila s Robin, propustili Billyho na podmínku a on navštívil slavnostní otevření Obecního počítačového centra v chudém Nicetownu, čtvrti ležící blízko severních oblastí."
"think","think","Neuvažovala","uvažovat","impf"," She did n't think of herself as a guerrilla, but a guerrilla was what she was."," Neuvažovala o sobě jako o partyzánské bojůvce, ale ve skutečnosti jí byla."
"promised","promise","neslíbil","slíbit","pf"," He 'd never promised Enid that Jonah was coming."," Nikdy Enid neslíbil, že Jonah přijede."
"coming","come","přijede","přijet","pf"," He 'd never promised Enid that Jonah was coming."," Nikdy Enid neslíbil, že Jonah přijede."
"spare","spare","ušetřil","ušetřit","pf"," It was simply to spare himself an argument that he 'd lied about Jonah 's fever."," Když zalhal o Jonahově horečce, dělal to jen proto, aby sám sebe ušetřil jedné hádky."
"pass","pass","projít","projít","pf"," She could n't pass a picket fence without trailing her fingertips against it."," Nedokázala projít kolem plaňkového plotu, aniž po něm přejela prstem."
"pass","pass","přejela","přejet","pf"," She could n't pass a picket fence without trailing her fingertips against it."," Nedokázala projít kolem plaňkového plotu, aniž po něm přejela prstem."
"do","do","udělala","udělat","pf"," She stopped in hallways to do dance steps or hopscotch."," Zastavovala se v průchodech, aby udělala pár tanečních kroků, popřípadě začala skákat panáka."
"threw","throw","vyhodila","vyhodit","pf"," After Billy was arrested on his second felony charge and Colleen threw him out of the house, his Teamster relatives gave him something of a hero 's welcome."," Když Billyho zavřeli po druhém násilném trestném činu a Colleen ho vyhodila z domu, jeho odborově uvědomělí příbuzní mu přichystali uvítání hodné hrdiny."
"wore","wear","trvalo","trvat","impf"," It was a while before he fully wore it out."," A trvalo mu dost dlouho, než je definitivně zklamal."
"found","find","našla","najít","pf"," "" If you 'd found that envelope three months ago, he would have exploded at me."," "" Kdybys tu obálku našla před třemi měsíci, zaručeně by mě seřval."
"saw","see","viděla","vidět","impf"," But you saw today."," Ale sama jsi to dnes viděla."
"did","do","Neudělal","udělat","pf"," He did n't do a thing. """," Neudělal vůbec nic. """
"do","do","Neudělal","udělat","pf"," He did n't do a thing. """," Neudělal vůbec nic. """
"matter","matter","nezáleží","záležet","impf"," "" It did n't even matter."," "" Na tom nezáleží."
"boiling","boil","vařily","vařit","impf"," The lid on a pot of white beans boiling on the stove began to rattle."," Poklička na hrnci, v němž se vařily bílé fazole, začala poskakovat."
"began","begin","začala","začít","pf"," The lid on a pot of white beans boiling on the stove began to rattle."," Poklička na hrnci, v němž se vařily bílé fazole, začala poskakovat."
"said","say","prohlásila","prohlásit","pf"," "" Merry, merry, merry Christmas! "" Enid said, looking each of her children in the eye in turn."," "" Tak šťastné a veselé Vánoce! "" prohlásila Enid a přejela pohledem po všech svých dětech."
"eating","eat","jedl","jíst","impf"," Alfred, head down, was already eating."," Alfred měl sklopenou hlavu a už jedl."
"asked","ask","zeptala","zeptat","pf"," Denise asked him how he 'd gotten home."," Denisa se ho zeptala, jak se dostal domů."
"gotten","get","dostal","dostat","pf"," Denise asked him how he 'd gotten home."," Denisa se ho zeptala, jak se dostal domů."
"omitting","omit","vynechal","vynechat","pf"," He told her the story, omitting only the armed robbery."," Převyprávěl jí celou svou anabázi, vynechal jen ozbrojené přepadení."
"bought","buy","nekoupila","koupit","pf"," As if she herself, given the opportunity, would n't have bought a house like Gary 's and furnished it very much the same way he had!"," Jako kdyby si ona sama - pokud by dostala příležitost - nekoupila stejný dům jako Gary a nevybavila ho stejným nábytkem, jaký do něj pořídil on!"
"furnished","furnish","nevybavila","vybavit","pf"," As if she herself, given the opportunity, would n't have bought a house like Gary 's and furnished it very much the same way he had!"," Jako kdyby si ona sama - pokud by dostala příležitost - nekoupila stejný dům jako Gary a nevybavila ho stejným nábytkem, jaký do něj pořídil on!"
"bought","buy","pořídil","pořídit","pf"," As if she herself, given the opportunity, would n't have bought a house like Gary 's and furnished it very much the same way he had!"," Jako kdyby si ona sama - pokud by dostala příležitost - nekoupila stejný dům jako Gary a nevybavila ho stejným nábytkem, jaký do něj pořídil on!"
"want","want","Chci","chtít","impf"," I have what you taught me to want!"," Chci to, cos mě naučila, že mám chtít!"
"taught","teach","naučila","naučit","pf"," I have what you taught me to want!"," Chci to, cos mě naučila, že mám chtít!"
"want","want","chtít","chtít","impf"," I have what you taught me to want!"," Chci to, cos mě naučila, že mám chtít!"
"refused","refuse","Odmítala","odmítat","impf"," She refused to disappoint Gitanas even though, in hindsight, it probably would have been better to disappoint him."," Odmítala Gitanase v čemkoliv zklamat, i když při pohledu zpátky by asi bylo lepší, kdyby mu zklamání dopřála."
"disappoint","disappoint","zklamat","zklamat","pf"," She refused to disappoint Gitanas even though, in hindsight, it probably would have been better to disappoint him."," Odmítala Gitanase v čemkoliv zklamat, i když při pohledu zpátky by asi bylo lepší, kdyby mu zklamání dopřála."
"disappoint","disappoint","zklamat","zklamat","pf"," She refused to disappoint Gitanas even though, in hindsight, it probably would have been better to disappoint him."," Odmítala Gitanase v čemkoliv zklamat, i když při pohledu zpátky by asi bylo lepší, kdyby mu zklamání dopřála."
"went","go","začal","začít","pf"," Gitanas was quite a bit older and fairly attentive in bed ( not like Chip, Julia hastened to say, but not, you know, terrible ), and he seemed to know what he was doing with the marriage thing, and so one day she went to City Hall with him."," Gitanas byl o dost starší a v posteli docela pozorný ( ne jako Chip, dodala Julie chvatně, ale taky ne, rozumíš, nemožný ), a když začal o sňatku, působil dojmem, že ví, co dělá, a tak s ním jednoho dne dorazila na radnici."
"doing","do","dělá","dělat","impf"," Gitanas was quite a bit older and fairly attentive in bed ( not like Chip, Julia hastened to say, but not, you know, terrible ), and he seemed to know what he was doing with the marriage thing, and so one day she went to City Hall with him."," Gitanas byl o dost starší a v posteli docela pozorný ( ne jako Chip, dodala Julie chvatně, ale taky ne, rozumíš, nemožný ), a když začal o sňatku, působil dojmem, že ví, co dělá, a tak s ním jednoho dne dorazila na radnici."
"went","go","dělá","dělat","impf"," Gitanas was quite a bit older and fairly attentive in bed ( not like Chip, Julia hastened to say, but not, you know, terrible ), and he seemed to know what he was doing with the marriage thing, and so one day she went to City Hall with him."," Gitanas byl o dost starší a v posteli docela pozorný ( ne jako Chip, dodala Julie chvatně, ale taky ne, rozumíš, nemožný ), a když začal o sňatku, působil dojmem, že ví, co dělá, a tak s ním jednoho dne dorazila na radnici."
"sounded","sound","znělo","znít","impf"," She might even have gone by "" Mrs. Misevicius "" if it had sounded less idiotic."," Mohla odtamtud dokonce vyjít jako "" paní Misevičiusová "", kdyby to znělo méně praštěně."
"tormented","torment","trápit","trápit","impf"," She tormented him no further but went to the basement, where Alfred had shut himself inside his lab and Gary was amassing ( "" Thirty-seven, thirty-eight "" ) consecutive bounces on his paddle."," Přestala ho dál trápit školní látkou a vydala se do suterénu, kde se Alfred zavřel do laboratoře a Gary lámal další rekord ( "" sedmatřicet, osmatřicet "" ) v pinkání míčkem bez přerušení."
"shut","shut","zavřel","zavřít","pf"," She tormented him no further but went to the basement, where Alfred had shut himself inside his lab and Gary was amassing ( "" Thirty-seven, thirty-eight "" ) consecutive bounces on his paddle."," Přestala ho dál trápit školní látkou a vydala se do suterénu, kde se Alfred zavřel do laboratoře a Gary lámal další rekord ( "" sedmatřicet, osmatřicet "" ) v pinkání míčkem bez přerušení."
"imagined","imagine","představovala","představovat","impf"," The changes in her body were incontrovertible, and she imagined so vividly the flattering inferences about her love life that Bea and Esther and Honey might draw from these changes that soon enough she drew the inferences herself."," Změny v jejím těle byly nezvratné a Enid si natolik živě představovala, k jakým lichotivým závěrům můžou Bea, Esther a Honey na základě těchto změn dospět, pokud jde o její milostný život, že začala k podobným závěrům záhy docházet sama."
"got","get","dosáhla","dosáhnout","pf"," Made happy in this way by pregnancy, she got sloppy and talked about the wrong thing to Alfred."," Díky těhotenství tak dosáhla pocitu štěstí i v této oblasti, což vedlo k oslabení její ostražitosti, takže jednoho dne nakousla před Alfredem nevhodné téma."
"working","work","pracovala","pracovat","impf"," She felt as if, while working and sleeping and working and sleeping, she 'd aged so rapidly that she 'd passed Emile and caught up with her parents."," Měla pocit, že zatímco pracovala a spala, pracovala a spala, pracovala a spala, zestárla tak rychle, až Emila předběhla a dohnala vlastní rodiče."
"working","work","pracovala","pracovat","impf"," She felt as if, while working and sleeping and working and sleeping, she 'd aged so rapidly that she 'd passed Emile and caught up with her parents."," Měla pocit, že zatímco pracovala a spala, pracovala a spala, pracovala a spala, zestárla tak rychle, až Emila předběhla a dohnala vlastní rodiče."
