"hear","hear","zaslechl","zaslechnout","pf"," He could hear, a long way off, the sound of approaching feet and arguing voices."," Kdesi v dálce zaslechl zvuk přibližujících se kroků a rozhádaných hlasů."
"make","make","vyděláte","vydělat","pf"," ‘ I mean, you learn not to expect much, you make a sale here and there, it 's a living, you know what I mean?"," Víte, naučíte se nic moc nečekat, prodáte něco tu a něco tam, prostě si tak akorát vyděláte na živobytí."
"saw","see","uviděl","uvidět","pf"," He looked around hurriedly, and stared when he saw Twoflower sitting on the broomstick – which was floating in mid-air."," Rychle se ohlédl a uviděl Dvoukvítka sedícího na koštěti, které se volně vznášelo ve vzduchu."
"left","leave","zapomenout","zapomenout","pf"," ‘ The witch must have left it behind! ’ said Twoflower."," "" Musela ho tady zapomenout ta čarodějnice, "" zářil Dvoukvítek."
"hesitated","hesitate","zaváhal","zaváhat","pf"," Rincewind hesitated."," Mrakoplaš zaváhal."
"radiating","radiate","vyzařovalo","vyzařovat","impf"," darkness is n't the opposite of light, it is simply its absence, and what was radiating from the book was the light that lies on the far side of darkness, the light fantastic."," Opakem světla totiž není tma, tma je jen jeho nepřítomnost, a to, co vyzařovalo z velkého grimoáru, byl tajemný svit, světlo, které leží na opačném konci temnoty, tušené, prchavé, neskutečné a vytoužené - lehké fantastično."
"lies","lie","leží","ležet","impf"," darkness is n't the opposite of light, it is simply its absence, and what was radiating from the book was the light that lies on the far side of darkness, the light fantastic."," Opakem světla totiž není tma, tma je jen jeho nepřítomnost, a to, co vyzařovalo z velkého grimoáru, byl tajemný svit, světlo, které leží na opačném konci temnoty, tušené, prchavé, neskutečné a vytoužené - lehké fantastično."
"regarded","regard","sledovaly","sledovat","impf"," Two glittering eyes regarded the wizards with hooded hatred."," Dvě lesklé oči sledovaly mágy se špatně skrývanou nenávistí."
"seen","see","nepřišel","přijít","pf"," I 've never really seen the point of it. ’"," Nikdy jsem nepřišel na to, k čemu je vám vlastně dobrá. """
"hiding","hide","schoval","schovat","pf"," Rincewind scuttled about in the manner of one totally at his wits ' end, peering behind bushes in case anyone was hiding there."," Mrakoplaš pobíhal kolem, jako když přišel o rozum, a nahlížel do každého křoví pro případ, že by se tam někdo schoval."
"considered","consider","považoval","považovat","impf"," He 'd always considered a mile-wide ball of fire quite impressive, although he disapproved of stars on principle."," On sám považoval ohnivou kouli o průměru dvou kilometrů za dost působivou, i když s hvězdami jako takovými v zásadě nesouhlasil."
"said","say","odpověděl","odpovědět","pf"," ‘ A lot bigger, ’ said the astrologer slowly."," "" Mnohem větší, "" odpověděl pomalu astrolog."
"examining","examine","zkoumali","zkoumat","impf"," Several of the huge stones were lying on their sides, and each was surrounded by another crowd of druids who were examining it carefully and arguing amongst themselves."," Několik obrovských kamenů bylo položeno na bok a kolem každého se tísnili další druidi, kteří je zkoumali a hádali se."
"arguing","argue","hádali","hádat","impf"," Several of the huge stones were lying on their sides, and each was surrounded by another crowd of druids who were examining it carefully and arguing amongst themselves."," Několik obrovských kamenů bylo položeno na bok a kolem každého se tísnili další druidi, kteří je zkoumali a hádali se."
"sat","sit","seděl","sedět","impf"," Arcane phrases floated up to where Rincewind sat :"," Vzduchem poletovaly útržky nesrozumitelných vět a dolétaly až k místu, kde seděl Mrakoplaš :"
"try","try","zkusil","zkusit","pf"," ‘ I say fire it up again and try a simple moon ceremony ... ’"," "" Já bych to znovu rozhodil a zkusil jednoduchý obřad měsíce ... """
"smoke","smoke","Nekouřil","kouřit","impf"," He did n't smoke, only drank boiled water, and Galder had the nasty suspicion that he was clever."," Nekouřil, pil vařenou vodu s listím a Galder měl navíc ošklivé podezření, že je dokonce chytrý."
"drank","drink","pil","pít","impf"," He did n't smoke, only drank boiled water, and Galder had the nasty suspicion that he was clever."," Nekouřil, pil vařenou vodu s listím a Galder měl navíc ošklivé podezření, že je dokonce chytrý."
"smile","smile","Smál","smát","impf"," He did n't smile often enough, and he liked figures and the sort of organization charts that show lots of squares with arrows pointing to other squares."," Smál se málokdy, měl rád čísla a miloval organizační tabulky, plné čtverečků, ze kterých vybíhaly šipky, ukazující do jiných čtverečků."
"liked","like","miloval","milovat","impf"," He did n't smile often enough, and he liked figures and the sort of organization charts that show lots of squares with arrows pointing to other squares."," Smál se málokdy, měl rád čísla a miloval organizační tabulky, plné čtverečků, ze kterých vybíhaly šipky, ukazující do jiných čtverečků."
"use","use","použít","použít","pf"," In short, he was the sort of man who could use the word ‘ personnel ’ and mean it."," V krátkosti, byl to člověk, který dovedl použít slovo "" kádrový "" a myslel to vážně."
"mean","mean","myslel","myslet","impf"," In short, he was the sort of man who could use the word ‘ personnel ’ and mean it."," V krátkosti, byl to člověk, který dovedl použít slovo "" kádrový "" a myslel to vážně."
"covered","cover","pokryta","pokrýt","pf"," The whole of the visible Disc was now covered with a shimmering white skin that fitted it perfectly."," Celá viditelná část Plochy teď byla pokryta rozechvělou bílou vrstvičkou, která ji dokonale kopírovala."
"say","say","říkáte","říkat","impf"," ‘ From a troll 's tooth, you say? ’ he muttered, squinting closely at his work."," "" Z trolího zubu, říkáte? "" zabručel a sehnul se, aby si svou práci prohlédl zblízka."
"lies","lie","leží","ležet","impf"," ‘ He was born under The Small Boring Group of Faint Stars which, as you know, lies between The Flying Moose and The Knotted String."," "" Narodil se ve znamení Malé skupiny nudných slábnoucích hvězd, které, jak jistě víte, leží mezi Létající myší a Zauzleným střevem."
"said","say","Říká","říkat","impf"," It is said that even the ancients could n't find anything interesting to say about the sign, which — ’"," Říká se, že ani náhodou by se vám nepodařilo najít něco zajímavého na takovém znamení ' které ... """
"say","say","Říká","říkat","impf"," It is said that even the ancients could n't find anything interesting to say about the sign, which — ’"," Říká se, že ani náhodou by se vám nepodařilo najít něco zajímavého na takovém znamení ' které ... """
"find","find","najít","najít","pf"," It is said that even the ancients could n't find anything interesting to say about the sign, which — ’"," Říká se, že ani náhodou by se vám nepodařilo najít něco zajímavého na takovém znamení ' které ... """
"said","say","prohlásil","prohlásit","pf"," ‘ Yes, yes, get on with it, ’ said Trymon irritably."," "" Ano, dobrá, pokračujte! "" prohlásil Trémon netrpělivě."
"sought","seek","hledali","hledat","impf"," ‘ We all sought guidance as to the events of this morning."," "" Všichni jsme hledali vysvětlení událostí dnešního rána."
"say","say","prohlásit","prohlásit","pf"," Can anyone among us say he received it? ’"," Může snad někdo prohlásit, že je našel? """
"vanished","vanish","zmizel","zmizet","pf"," With a cry of ‘ Elves! ’ Swires scuttled across the floor to a mousehole and vanished."," Vaverka se s výkřikem "" elfové! "" vrhl napříč místností k myší díře a zmizel."
"do","do","dělat","dělat","impf"," ‘ What shall we do? ’ said Twoflower."," "" Co budeme dělat? "" rozhlížel se Dvoukvítek."
"do","do","nedělejte","dělat","impf"," ‘ Look, do n't worry, ’ he said."," "" Podívejte, nedělejte si starosti."
"thinking","think","myslet","myslet","impf"," ‘ If you keep thinking the rock should n't be flying it might hear you and become persuaded and you will turn out to be right, OK?"," Kdybyste si začali opravdu vážně myslet, že kámen nemůže létat, mohl by to uslyšet, považovat to za přemlouvání a vám by se špatně vedlo, jasný?"
"flying","fly","létat","létat","impf"," ‘ If you keep thinking the rock should n't be flying it might hear you and become persuaded and you will turn out to be right, OK?"," Kdybyste si začali opravdu vážně myslet, že kámen nemůže létat, mohl by to uslyšet, považovat to za přemlouvání a vám by se špatně vedlo, jasný?"
"hear","hear","uslyšet","uslyšet","pf"," ‘ If you keep thinking the rock should n't be flying it might hear you and become persuaded and you will turn out to be right, OK?"," Kdybyste si začali opravdu vážně myslet, že kámen nemůže létat, mohl by to uslyšet, považovat to za přemlouvání a vám by se špatně vedlo, jasný?"
"thinking","think","považovat","považovat","impf"," ‘ If you keep thinking the rock should n't be flying it might hear you and become persuaded and you will turn out to be right, OK?"," Kdybyste si začali opravdu vážně myslet, že kámen nemůže létat, mohl by to uslyšet, považovat to za přemlouvání a vám by se špatně vedlo, jasný?"
"said","say","odpověděl","odpovědět","pf"," ‘ So it would seem, ’ said Rincewind weakly."," "" Jo, taky mám ten dojem, "" odpověděl mu slabým hlasem Mrakoplaš."
"trying","try","Snažil","snažit","impf"," He was trying not to think about rocks on the ground."," Snažil se zapomenout na všechny kameny na zemi."
"shook","shake","třásl","třást","impf"," The bridge shook under their feet rather more than it should."," Most se třásl pod nohama zástupu mnohem silněji, než bylo běžné."
"looked","look","podívala","podívat","pf"," Bethan looked behind them, and screamed."," Bethan se podívala za jejich záda a vykřikla."
"screamed","scream","vykřikla","vykřiknout","pf"," Bethan looked behind them, and screamed."," Bethan se podívala za jejich záda a vykřikla."
"rising","rise","Vycházela","vycházet","impf"," The star was rising."," Vycházela hvězda."
"climbed","climb","stoupal","stoupat","impf"," As the Disc 's own sun scurried for safety below the horizon, the great bloated ball of the star climbed slowly into the sky until the whole of it was several degrees above the edge of the world."," Zatímco slunce se pro vlastní bezpečnost rychle nořilo pod okraj Plochy, obrovský kotouč hvězdy stoupal vzhůru, až vystoupil několik stupňů nad obzor."
"climbed","climb","vystoupil","vystoupit","pf"," As the Disc 's own sun scurried for safety below the horizon, the great bloated ball of the star climbed slowly into the sky until the whole of it was several degrees above the edge of the world."," Zatímco slunce se pro vlastní bezpečnost rychle nořilo pod okraj Plochy, obrovský kotouč hvězdy stoupal vzhůru, až vystoupil několik stupňů nad obzor."
"argue","argue","hádat","hádat","impf"," It looked for a moment as though the Spell was going to argue, but it wisely thought better of it."," Chvilku to vypadalo, že se bude Zaklínadlo hádat, ale nakonec se moudře rozhodlo jinak."
"looked","look","podíval","podívat","pf"," When he looked down at the page it was full of words."," Když se podíval do knihy, pokrýval původně prázdnou stránku text."
"reminded","remind","připomínalo","připomínat","impf"," He was glad about that, the reptilian pictures were not only unspeakable but probably unpronounceable too, and reminded him of things he would have great difficulty in forgetting."," Potěšilo ho to, protože odporné hadí písmo bylo nejen nepopsatelné, ale pravděpodobně i nevyslovitelné a připomínalo mu věci, na které by jen velmi těžce zapomínal."
"forgetting","forget","zapomínal","zapomínat","impf"," He was glad about that, the reptilian pictures were not only unspeakable but probably unpronounceable too, and reminded him of things he would have great difficulty in forgetting."," Potěšilo ho to, protože odporné hadí písmo bylo nejen nepopsatelné, ale pravděpodobně i nevyslovitelné a připomínalo mu věci, na které by jen velmi těžce zapomínal."
