"assured","assure","ujistil","ujistit","pf"," Luria assured him that I would fit the bill and immediately wrote me the good news."," Luria jej ujistil, že se právě na to budu hodit, a ihned mi tyto dobré zprávy napsal."
"regards","regard","považuje","považovat","impf"," By then all traces of our early bickering were forgotten, and we both came to appreciate greatly her personal honesty and generosity, realizing years too late the struggles that the intelligent woman faces to be accepted by a scientific world which often regards women as mere diversions from serious thinking."," Tehdy již byly všechny stopy našeho dřívějšího hašteření zapomenuty a oba jsme velmi oceňovali její osobní čestnost a velkodušnost, protože jsme po letech příliš pozdě rozpoznali bitvu, kterou musí inteligentní žena svést, aby byla kladně přijata vědeckým světem, který často považuje ženy za neschopné seriózního myšlení."
"returned","return","Vrátil","vrátit","pf"," I then returned to Copenhagen to collect my few clothes and to tell Herman about my good luck in being able to become a crystallographer."," Vrátil jsem se pak do Kodaně, abych si sbalil tu trochu svého šatstva a řekl Hermanovi o svém nadějném výhledu stát se krystalografem."
"tell","tell","řekl","říci","pf"," I then returned to Copenhagen to collect my few clothes and to tell Herman about my good luck in being able to become a crystallographer."," Vrátil jsem se pak do Kodaně, abych si sbalil tu trochu svého šatstva a řekl Hermanovi o svém nadějném výhledu stát se krystalografem."
"dispatched","dispatch","odeslal","odeslat","pf"," A letter was dispatched telling the Fellowship Office in Washington that he enthusiastically endorsed my change in plans."," Radě pro nadace ve Washingtonu odeslal dopis, ve kterém nadšeně schvaloval změnu mých plánů."
"endorsed","endorse","schvaloval","schvalovat","impf"," A letter was dispatched telling the Fellowship Office in Washington that he enthusiastically endorsed my change in plans."," Radě pro nadace ve Washingtonu odeslal dopis, ve kterém nadšeně schvaloval změnu mých plánů."
"wrote","write","napsal","napsat","pf"," At the same time I wrote a letter to Washington, breaking the news that my current experiments on the biochemistry of virus reproduction were at best interesting in a nonprofound way."," Ve stejné době jsem do Washingtonu napsal, že mé současné pokusy s biochemií množení virů jsou v nejlepším případě zajímavé jen okrajově."
"place","place","umístit","umístit","pf"," Finally over coffee I admitted that my reluctance to place the bases inside partially arose from the suspicion that it would be possible to build an almost infinite number of models of this type."," Nakonec jsem při kávě usoudil, že má neochota umístit báze doprostřed vyplynula z podezření, že by bylo možné sestavit téměř nekonečné množství modelů tohoto typu."
"build","build","sestavit","sestavit","pf"," Finally over coffee I admitted that my reluctance to place the bases inside partially arose from the suspicion that it would be possible to build an almost infinite number of models of this type."," Nakonec jsem při kávě usoudil, že má neochota umístit báze doprostřed vyplynula z podezření, že by bylo možné sestavit téměř nekonečné množství modelů tohoto typu."
"considered","consider","považuje","považovat","impf"," As usual, the State Department would not come clean about what it considered dirt."," Jako obvykle, State Department nechtěl objasnit, co považuje za nekalé."
"sent","send","poslal","poslat","pf"," Several days before the meeting, Al Hershey had sent me a long letter from Cold Spring Harbor summarizing the recently completed experiments by which he and Martha Chase established that a key feature of the infection of a bacterium by a phage was the injection of the viral DNA into the host bacterium."," Několik dní před zasedáním mi Al Hershey poslal dlouhý dopis, ve kterém shrnoval do té doby dokončené pokusy, při nichž spolu s Marthou Chaseovou zjistili, že hlavním znakem infekce bakterie fágem je injekce virové DNA do hostitelské bakterie."
"summarizing","summarize","shrnoval","shrnovat","impf"," Several days before the meeting, Al Hershey had sent me a long letter from Cold Spring Harbor summarizing the recently completed experiments by which he and Martha Chase established that a key feature of the infection of a bacterium by a phage was the injection of the viral DNA into the host bacterium."," Několik dní před zasedáním mi Al Hershey poslal dlouhý dopis, ve kterém shrnoval do té doby dokončené pokusy, při nichž spolu s Marthou Chaseovou zjistili, že hlavním znakem infekce bakterie fágem je injekce virové DNA do hostitelské bakterie."
"established","establish","zjistili","zjistit","pf"," Several days before the meeting, Al Hershey had sent me a long letter from Cold Spring Harbor summarizing the recently completed experiments by which he and Martha Chase established that a key feature of the infection of a bacterium by a phage was the injection of the viral DNA into the host bacterium."," Několik dní před zasedáním mi Al Hershey poslal dlouhý dopis, ve kterém shrnoval do té doby dokončené pokusy, při nichž spolu s Marthou Chaseovou zjistili, že hlavním znakem infekce bakterie fágem je injekce virové DNA do hostitelské bakterie."
"read","read","Přednášel","přednášet","impf"," Then he read physics at University College, London, and had commenced work on an advanced degree when the war broke out."," Přednášel pak fyziku na University College v Londýně a začal se připravovat na získání vyšší akademické hodnosti, když vypukla válka."
"commenced","commence","začal","začít","pf"," Then he read physics at University College, London, and had commenced work on an advanced degree when the war broke out."," Přednášel pak fyziku na University College v Londýně a začal se připravovat na získání vyšší akademické hodnosti, když vypukla válka."
"worked","work","Pracoval","pracovat","impf"," There he worked with great vigor, and, although many resented his nonstop conversation, there was a war to win and he was quite helpful in producing ingenious magnetic mines."," Pracoval s velkou energií, a ačkoli mnohé pohoršovalo jeho neustálé povídání, byla tu válka, kterou bylo třeba vyhrát, a on byl velmi platný při výrobě důmyslných magnetických min."
"win","win","vyhrát","vyhrát","pf"," There he worked with great vigor, and, although many resented his nonstop conversation, there was a war to win and he was quite helpful in producing ingenious magnetic mines."," Pracoval s velkou energií, a ačkoli mnohé pohoršovalo jeho neustálé povídání, byla tu válka, kterou bylo třeba vyhrát, a on byl velmi platný při výrobě důmyslných magnetických min."
"stood","stand","měl","mít","impf"," The soonest Maurice was likely to learn where things stood was three weeks hence, the middle of November."," Teprve po třech týdnech uprostřed listopadu se měl Maurice dozvědět, jak se věci mají."
"learn","learn","dozvědět","dozvědět","pf"," The soonest Maurice was likely to learn where things stood was three weeks hence, the middle of November."," Teprve po třech týdnech uprostřed listopadu se měl Maurice dozvědět, jak se věci mají."
"stood","stand","mají","mít","impf"," The soonest Maurice was likely to learn where things stood was three weeks hence, the middle of November."," Teprve po třech týdnech uprostřed listopadu se měl Maurice dozvědět, jak se věci mají."
"scheduled","schedule","plánovala","plánovat","impf"," At that time Rosy was scheduled to give a seminar on her past six months ' work."," Na tuto dobu plánovala Rosy seminář o svých výsledcích za posledních šest měsíců."
"delighted","delight","potěšilo","potěšit","pf"," Naturally I was delighted when Maurice said I would be welcome at Rosy 's talk."," Přirozeně mě potěšilo, když mě Maurice na tento Rosyin seminář pozval."
"fell","fall","klesl","klesnout","pf"," MOST unexpectedly, Francis ' interest in DNA temporarily fell to almost zero less than a week later."," Zcela neočekávaně za necelý týden klesl Francisův zájem o DNA dočasně téměř na nulu."
"permitted","permit","dovolily","dovolit","pf"," Often, when administrative duties permitted, he visited Perutz ' office to discuss recently accumulated X-ray data."," Často, když mu to jeho administrativní povinnosti dovolily, navštěvoval Perutzovu pracovnu, aby si s ním pohovořil o nově získaných rentgenografických údajích."
