"say","say","neodpovíš","odpovědět","pf"," ' Why do n't you say something, Niza? ' asked Judas miserably, hastening to keep pace with her."," "" Proč mi neodpovíš, Niso? "" žadonil Jidáš, když ji dohnal."
"risen","rise","vznikl","vzniknout","pf"," It caused her no distress to think that she had been at Satan 's ball, that by some miracle the master had been restored to her, that the novel had risen from the ashes, that everything was back in its place in the basement flat after the expulsion of the wretched Aloysius Mogarych."," Neděsily ji vzpomínky na gala ples u satana ani na Mistrův zázračně rychlý návrat, nepřekvapovalo ji, že román vznikl z hromádky popela, ani že ve sklepním bytě v uličce blízko Arbatu je všechno na svém místě po tom, co byl odtud vyhnán udavač Alois Mogaryč."
"appeared","appear","objevily","objevit","pf"," Just then a pair of blunt-toed boots and the lower part of a pair of trousers appeared in the little basement window."," V tu chvíli se v okně objevily boty s tupými špičkami a část proužkovaných kalhot."
"asked","ask","zeptal","zeptat","pf"," ' Aloysius - are you there, Aloysius? ' asked a voice from slightly above the trousers."," "" Alois, seš doma? "" zeptal se za oknem čísi hlas nad kalhotami."
"beginning","begin","začíná","začínat","impf"," ' It 's beginning, ' said the master."," "" Už to začíná, "" řekl Mistr."
"said","say","řekl","říci","pf"," ' It 's beginning, ' said the master."," "" Už to začíná, "" řekl Mistr."
"asked","ask","zeptala","zeptat","pf"," ' Aloysius? ' asked Margarita, moving closer to the window."," "" Hledáte Aloise? "" zeptala se Markéta a přistoupila k oknu."
"lay","lie","ležel","ležet","impf"," Next door on a divan, covered by his hospital dressing-gown, the master lay in a deep sleep, his regular breathing inaudible from the next room."," V sousedním pokojíku ležel na pohovce Mistr přikrytý nemocničním županem a v hlubokém spánku tiše, stejnoměrně oddechoval."
"picked","pick","vzala","vzít","pf"," Drying her tears, Margarita picked up one of the unharmed folios and found the place that she had been reading before she had met Azazello beneath the Kremlin wall."," Když se Markéta vyplakala, vzala do ruky sešity a našla místo, které pročítala předtím, než potkala Azazela v parku u kremelské zdi."
"found","find","našla","najít","pf"," Drying her tears, Margarita picked up one of the unharmed folios and found the place that she had been reading before she had met Azazello beneath the Kremlin wall."," Když se Markéta vyplakala, vzala do ruky sešity a našla místo, které pročítala předtím, než potkala Azazela v parku u kremelské zdi."
"met","meet","potkala","potkat","pf"," Drying her tears, Margarita picked up one of the unharmed folios and found the place that she had been reading before she had met Azazello beneath the Kremlin wall."," Když se Markéta vyplakala, vzala do ruky sešity a našla místo, které pročítala předtím, než potkala Azazela v parku u kremelské zdi."
"sleep","sleep","spát","spát","impf"," She had no wish to sleep."," Nechtělo se jí spát."
"closed","close","zavřel","zavřít","pf"," Then something hit him on the head and he closed his eyes and groaned."," Vtom mu začala třeštit hlava tak silně, že zavřel oči a zasténal."
"woken","wake","probudil","probudit","pf"," Stepa Likhodeyev, manager of the Variety Theatre, had woken up that morning in the flat that he shared with Berlioz in a big six-storey block of flats on Sadovaya Street."," Sťopa Lotrov, ředitel Varieté, se ráno probudil ve svém bytě, kde bydlel společně s nebožtíkem Berliozem, v hranolovitém pětipatrovém činžáku, který stál v Sadové ulici."
"tasted","taste","ochutnal","ochutnat","pf"," The visitor accepted a second cup of wine, swallowed a few oysters with obvious relish, tasted the boiled vegetables and ate a piece of meat."," Neodmítl ani druhý pohár vína, se zřejmou rozkoší vysál několik ústřic, ochutnal vařenou zeleninu a snědl kousek masa."
"ate","eat","snědl","sníst","pf"," The visitor accepted a second cup of wine, swallowed a few oysters with obvious relish, tasted the boiled vegetables and ate a piece of meat."," Neodmítl ani druhý pohár vína, se zřejmou rozkoší vysál několik ústřic, ochutnal vařenou zeleninu a snědl kousek masa."
"ran","run","běžel","běžet","impf"," An usher ran for the doctor."," Posílkář běžel pro lékaře."
"tried","try","pokoušeli","pokoušet","impf"," They tried to lay Bengalsky on a divan in his dressing-room, but he resisted and became violent."," Nemocného se pokoušeli uložit na pohovku v šatně, ale zuřivě se vzpíral."
"lay","lay","uložit","uložit","pf"," They tried to lay Bengalsky on a divan in his dressing-room, but he resisted and became violent."," Nemocného se pokoušeli uložit na pohovku v šatně, ale zuřivě se vzpíral."
"called","call","povolat","povolat","pf"," An ambulance was called."," Nakonec museli povolat záchranku."
"ran","run","utíkal","utíkat","impf"," When the unfortunate compère had been removed Rimsky ran back to the stage, where new miracles were in progress."," Když nešťastného konferenciéra odvezli, Rimský utíkal zpátky na scénu a viděl, že se tu dějí nové divy."
"help","help","pomoci","pomoci","pf"," Now people were at last coming to hear his version of the affair - just when his urge to help capture Professor Woland had completely evaporated."," Teď se splnilo vytoužené přání pomoci dopadnout konzultanta, nemusel nikam běhat, sami za ním přišli jen proto, aby se od něho dozvěděli, co se udalo ve středu večer na Patriarchových rybnících."
"capture","capture","dopadnout","dopadnout","pf"," Now people were at last coming to hear his version of the affair - just when his urge to help capture Professor Woland had completely evaporated."," Teď se splnilo vytoužené přání pomoci dopadnout konzultanta, nemusel nikam běhat, sami za ním přišli jen proto, aby se od něho dozvěděli, co se udalo ve středu večer na Patriarchových rybnících."
"coming","come","přišli","přijít","pf"," Now people were at last coming to hear his version of the affair - just when his urge to help capture Professor Woland had completely evaporated."," Teď se splnilo vytoužené přání pomoci dopadnout konzultanta, nemusel nikam běhat, sami za ním přišli jen proto, aby se od něho dozvěděli, co se udalo ve středu večer na Patriarchových rybnících."
"put","put","položil","položit","pf"," Without a key Azazello opened the little suitcase, took out of it an enormous roast chicken minus one leg wrapped in greaseproof paper and put it on the floor."," Azazelo odemkl bez klíče kufřík, vytáhl obrovskou pečenou slepici, zabalenou do promaštěného novinového papíru a položil ji na zem."
"heard","hear","slyšet","slyšet","impf"," It could be heard crashing downstairs and to judge by the sound, the lid broke off as it went."," Bylo slyšet, jak dopadl s rachotem dole na zem, a soudě podle zvuku, uletělo mu víko."
"judge","judge","soudě","soudit","impf"," It could be heard crashing downstairs and to judge by the sound, the lid broke off as it went."," Bylo slyšet, jak dopadl s rachotem dole na zem, a soudě podle zvuku, uletělo mu víko."
"threatening","threaten","hrozila","hrozit","impf"," When the May storms blew and the water slashed noisily past the dim little windows, threatening to flood their home, the lovers stoked up the stove and baked potatoes in it."," Za májových bouří, kdy se kolem poloslepých oken s rachotem řítila pod práh vodní záplava a hrozila zatopit jejich poslední útulek, milenci roztápěli kamna a pekli v nich brambory."
"baked","bake","pekli","péci","impf"," When the May storms blew and the water slashed noisily past the dim little windows, threatening to flood their home, the lovers stoked up the stove and baked potatoes in it."," Za májových bouří, kdy se kolem poloslepých oken s rachotem řítila pod práh vodní záplava a hrozila zatopit jejich poslední útulek, milenci roztápěli kamna a pekli v nich brambory."
"understand","understand","nechápe","chápat","impf"," Therefore he, Kitaitsev, failed completely to understand how Stepa could have allowed a show of this sort to be put on at the Variety."," Tudíž on, Číňanov, absolutně nechápe a nedovede si vysvětlit, jak mohl Sťopa podobnou seanci ve Varieté připustit."
"put","put","vysvětlit","vysvětlit","pf"," Therefore he, Kitaitsev, failed completely to understand how Stepa could have allowed a show of this sort to be put on at the Variety."," Tudíž on, Číňanov, absolutně nechápe a nedovede si vysvětlit, jak mohl Sťopa podobnou seanci ve Varieté připustit."
"allowed","allow","připustit","připustit","pf"," Therefore he, Kitaitsev, failed completely to understand how Stepa could have allowed a show of this sort to be put on at the Variety."," Tudíž on, Číňanov, absolutně nechápe a nedovede si vysvětlit, jak mohl Sťopa podobnou seanci ve Varieté připustit."
"turned","turn","obrátila","obrátit","pf"," ' Tell me, ' revived by the vodka Margot turned to Azazello : ' did you shoot that ex-baron? '"," "" Poslyšte, "" obrátila se k Azazelovi Margot oživlá po lihu, "" vy jste toho bývalého barona zastřelil? """
"shoot","shoot","zastřelil","zastřelit","pf"," ' Tell me, ' revived by the vodka Margot turned to Azazello : ' did you shoot that ex-baron? '"," "" Poslyšte, "" obrátila se k Azazelovi Margot oživlá po lihu, "" vy jste toho bývalého barona zastřelil? """
"exclaimed","exclaim","zvolala","zvolat","pf"," ' I had such a shock! ' exclaimed Margarita, ' it happened so unexpectedly! '"," "" Přiznávám se, že mě to trošku šokovalo, "" zvolala, "" bylo to tak nečekané! """
"objected","object","namítl","namítnout","pf"," ' There was nothing unexpected about it, ' Azazello objected, and Koroviev whined :"," "" Na tom není nic, co by mohlo člověka šokovat, "" namítl Azazelo, ale Korovjev plačtivě lamentoval :"
"stole","steal","ukradl","ukrást","pf"," With a long sharp knife, very like the knife Matthew the Levite stole, he was easing the snake-like skin away from the fat, juicy flesh of a pink salmon."," Nožem ostrým jako břitva, podobným tomu, co ukradl Matouš, stahoval ze šťavnatého růžového lososa s plačtivýma očima stříbřitou, jakoby hadí kůži."
"rang","ring","zazvonil","zazvonit","pf"," Rimsky rattled his key-chain, took some money out of the safe, counted out five hundred roubles, rang the bell, gave the money to the usher and sent her off to the post office."," Rimský zachřestil svazkem klíčů, vytáhl ze sejfu peníze, odpočítal pět set rublů, pak zazvonil, předal doručovateli peníze a poslal ho na poštu."
"gave","give","předal","předat","pf"," Rimsky rattled his key-chain, took some money out of the safe, counted out five hundred roubles, rang the bell, gave the money to the usher and sent her off to the post office."," Rimský zachřestil svazkem klíčů, vytáhl ze sejfu peníze, odpočítal pět set rublů, pak zazvonil, předal doručovateli peníze a poslal ho na poštu."
"sent","send","poslal","poslat","pf"," Rimsky rattled his key-chain, took some money out of the safe, counted out five hundred roubles, rang the bell, gave the money to the usher and sent her off to the post office."," Rimský zachřestil svazkem klíčů, vytáhl ze sejfu peníze, odpočítal pět set rublů, pak zazvonil, předal doručovateli peníze a poslal ho na poštu."
