"saw","see","spatří","spatřit","pf"," What would the Hermians do, when they saw him?"," Co Merkuřané podniknou, až ho spatří?"
"delighted","delight","potěšilo","potěšit","pf"," Dr Bose considered that this sort of technological tour de force was an unnecessary gimmick, but it was surprising how many undeniably great men were childishly delighted to be in two places at once."," Dr. Bose měl za to, že tenhle druh technické tour de force je pouhý nepotřebný trik, překvapovalo však, kolik nepopiratelně velikých mužů dětinsky potěšilo, když mohli být na dvou místech současně."
"repeat","repeat","opakovat","opakovat","impf"," Probably they would never repeat the experience ( but could one ever be quite sure of that? ) because so much had changed for both of them."," Už se to nejspíš nikdy nebude opakovat - ale může si tím být člověk úplně jistý -, protože se toho pro ně pro oba hodně změnilo."
"changed","change","změnilo","změnit","pf"," Probably they would never repeat the experience ( but could one ever be quite sure of that? ) because so much had changed for both of them."," Už se to nejspíš nikdy nebude opakovat - ale může si tím být člověk úplně jistý -, protože se toho pro ně pro oba hodně změnilo."
"examine","examine","zkoumali","zkoumat","impf"," The Spiders were mobile sensors, using vision - and probably touch - to examine the whole interior of Rama."," Pavouci byli pohyblivá čidla používající zrak - a pravděpodobně i hmat -, aby zkoumali celý vnitřek Rámy."
"disappeared","disappear","zmizeli","zmizet","pf"," At one time there had been hundreds of them rushing around at high speed, but after less than two days they had disappeared;"," Jednu dobu jich tu značnou rychlostí pobíhaly kolem dokola stovky, ale netrvalo ani dva dny a zmizeli;"
"see","see","zahlédnout","zahlédnout","pf"," now it was quite unusual to see even one."," teď už bylo naprosto neobvyklé zahlédnout třeba jen jednoho jediného."
"replaced","replace","Nahradil","nahradit","pf"," They had been replaced by a whole menagerie of much more impressive creatures;"," Nahradil je celý zvěřinec tvorů, kteří dělali ještě mnohem větší dojem;"
"think","think","Myslím","myslet","impf"," I really do n't think so."," Myslím, že v žádném případě ne."
"say","say","řekl","říci","pf"," If I had to describe them, I would say that they are robots - biological robots - something that has no analogy on Earth. '"," Kdybych je musel charakterizovat, řekl bych, že to jsou roboti - biologičtí roboti -, něco, co nemá pozemskou analogii."
"born","bear","rodí","rodit","impf"," As to how they are born - or created - that 's something I ca n't tell you."," Co se týče toho, jak se rodí - anebo tvoří -, tak to vám nepovím."
"created","create","tvoří","tvořit","impf"," As to how they are born - or created - that 's something I ca n't tell you."," Co se týče toho, jak se rodí - anebo tvoří -, tak to vám nepovím."
"tell","tell","nepovím","povědět","pf"," As to how they are born - or created - that 's something I ca n't tell you."," Co se týče toho, jak se rodí - anebo tvoří -, tak to vám nepovím."
"drown","drown","utopil","utopit","pf"," If he came down in the Sea, he would probably drown, quite unpleasantly, in its poisonous waters."," Kdyby spadl do Moře, pravděpodobně by se dost odporně utopil v jeho jedovatých vodách."
"rescue","rescue","zachránili","zachránit","pf"," And even if he made a safe landing in the southern continent, it might be impossible to rescue him before Endeavour had to break away from Rama 's sunward orbit."," A i kdyby nouzově přistál na Jižním kontinentu, bylo by zřejmě nemožné, aby ho zachránili dřív, než se Endeavour bude muset odpoutat od Rámy, směřujícího ke Slunci."
"completed","complete","dokončil","dokončit","pf"," ' As you all know, ' she began, ' Commander Norton has completed one traverse of almost thirty kilometres, without encountering any problems."," "" Jak všichni víte, "" spustila, "" kapitán Norton dokončil svůj téměř třicetikilometrový pochod, aniž se setkal s jakýmikoli potížemi."
"encountering","encounter","setkal","setkat","pf"," ' As you all know, ' she began, ' Commander Norton has completed one traverse of almost thirty kilometres, without encountering any problems."," "" Jak všichni víte, "" spustila, "" kapitán Norton dokončil svůj téměř třicetikilometrový pochod, aniž se setkal s jakýmikoli potížemi."
"explored","explore","Prozkoumal","prozkoumat","pf"," He explored the curious trench shown on your maps as the Straight Valley;"," Prozkoumal pozoruhodný příkop, do vašich map zanesený jako Rovné údolí;"
"runs","run","probíhá","probíhat","impf"," its purpose is still quite unknown, but it 's clearly important as it runs the full length of Rama - except for the break at the Cylindrical Sea - and there are two other identical structures 120 degrees apart round the circumference of - the world. '"," jeho účel je nám stále ještě naprosto neznámý, je však nepochybně důležitý, poněvadž příkop probíhá po celé délce Rámy - přerušuje jej pouze Válcové moře - a jsou tu dvě další, úplně stejná zařízení po sto dvaceti stupních od sebe na kruhovém obvodu satelitu."
"holding","hold","měl","mít","impf"," Very thoughtfully, he began to walk slowly along the length of the little valley, while his companions, still holding the rope that was attached to his waist, followed him along the rim."," V hlubokém zamyšlení se zvolna pustil podél malého údolí, zatímco jeho společníci, neustále přidržující lano, které měl uvázané kolem pasu, ho následovali po okraji."
"followed","follow","následovali","následovat","impf"," Very thoughtfully, he began to walk slowly along the length of the little valley, while his companions, still holding the rope that was attached to his waist, followed him along the rim."," V hlubokém zamyšlení se zvolna pustil podél malého údolí, zatímco jeho společníci, neustále přidržující lano, které měl uvázané kolem pasu, ho následovali po okraji."
"expect","expect","Neočekával","očekávat","impf"," He did not expect to make any further discoveries, but he wanted to let his curious emotional state run its course."," Neočekával, že udělá nějaké další objevy, ale chtěl ponechat volný průběh svému prapodivnému duševnímu stavu."
"did","do","udělá","udělat","pf"," He did not expect to make any further discoveries, but he wanted to let his curious emotional state run its course."," Neočekával, že udělá nějaké další objevy, ale chtěl ponechat volný průběh svému prapodivnému duševnímu stavu."
"make","make","udělá","udělat","pf"," He did not expect to make any further discoveries, but he wanted to let his curious emotional state run its course."," Neočekával, že udělá nějaké další objevy, ale chtěl ponechat volný průběh svému prapodivnému duševnímu stavu."
"wanted","want","chtěl","chtít","impf"," He did not expect to make any further discoveries, but he wanted to let his curious emotional state run its course."," Neočekával, že udělá nějaké další objevy, ale chtěl ponechat volný průběh svému prapodivnému duševnímu stavu."
"say","say","pronese","pronést","pf"," In the weeks that had passed, Commander Norton had often wondered what he would say at this moment."," V uplynulých dnech kapitán Norton často rozvažoval o tom, co v této chvíli pronese."
"spoke","speak","řekl","říci","pf"," But now that it was upon him, History chose his words, and he spoke almost automatically, barely aware of the echo from the past :"," Avšak nyní, když nastala, bezděky mu vytanulo na mysli první přistání člověka na Měsíci, a tak řekl téměř mechanicky, aniž by si uvědomoval ozvěnu minulosti :"
"judged","judge","odhadoval","odhadovat","impf"," Norton judged that the swiftly moving central portion would reach them in less than five minutes, but he could also see that it presented no serious danger."," Norton odhadoval, že rychle se pohybující ústřední část k nim dospěje dříve než za pět minut, už však také chápal, že neznamená žádné vážné nebezpečí."
"see","see","chápal","chápat","impf"," Norton judged that the swiftly moving central portion would reach them in less than five minutes, but he could also see that it presented no serious danger."," Norton odhadoval, že rychle se pohybující ústřední část k nim dospěje dříve než za pět minut, už však také chápal, že neznamená žádné vážné nebezpečí."
"appeared","appear","objevila","objevit","pf"," Suddenly, in the very centre of the Sea, a line of breakers appeared."," Náhle, přímo uprostřed Moře, se objevila veliká, pěnivě se lámající stěna."
"remember","remember","vzpomenout","vzpomenout","pf"," ' There 's some kind of fancy dessert with a hot exterior and ice-cream in the middle - I do n't remember what it 's called- '"," Ráma je jako ten nóbl moučník, navrchu horký a uvnitř naplněný zmrzlinou - nemůžu si vzpomenout, jak se mu říká ... """
"Thank","thank","Děkuji","děkovat","impf"," ' Thank you, Sir Robert."," "" Děkuji, sire Roberte."
"last","last","nepotrvá","trvat","impf"," That 's the situation in Rama at the moment, but it wo n't last."," V takové situaci se tedy nachází Ráma pro tuto chvíli, jenže to nepotrvá věčně."
"expect","expect","očekáváme","očekávat","impf"," All these weeks, the solar heat has been working its way through, and we expect a sharp temperature rise to begin in a few hours."," Teplo ze Slunce proniká dovnitř už po dlouhé týdny a očekáváme, že během několika hodin začne teplota prudce narůstat."
"begin","begin","začne","začít","pf"," All these weeks, the solar heat has been working its way through, and we expect a sharp temperature rise to begin in a few hours."," Teplo ze Slunce proniká dovnitř už po dlouhé týdny a očekáváme, že během několika hodin začne teplota prudce narůstat."
"did","do","udělal","udělat","pf"," A second and a half later, he did so on the Moon."," O sekundu a půl později udělal totéž i na Měsíci."
