"breathe","breathe","dýchat","dýchat","impf"," Suddenly he had anonymous eyes on him and he could breathe again!"," Anonymní oči byly náhle všude s ním a on mohl zase dýchat!"
"filled","fill","naplňovaly","naplňovat","impf"," Until that time, her betrayals had filled her with excitement and joy, because they opened up new paths to new adventures of betrayal."," Až dosud ji chvíle zrady naplňovaly vzrušením a radostí z toho, že se před ní otvírá nová cesta a na jejím konci nové dobrodružství zrady."
"opened","open","otvírá","otvírat","impf"," Until that time, her betrayals had filled her with excitement and joy, because they opened up new paths to new adventures of betrayal."," Až dosud ji chvíle zrady naplňovaly vzrušením a radostí z toho, že se před ní otvírá nová cesta a na jejím konci nové dobrodružství zrady."
"betray","betray","zradit","zradit","pf"," One could betray one 's parents, husband, country, love, but when parents, husband, country, and love were gone - what was left to betray?"," Člověk může zradit rodiče, manžela, lásku, vlast, ale když už pak nejsou ani rodiče, ani manžel, ani láska, ani vlast, co zbude pro zradu?"
"betray","betray","zradit","zradit","pf"," One could betray one 's parents, husband, country, love, but when parents, husband, country, and love were gone - what was left to betray?"," Člověk může zradit rodiče, manžela, lásku, vlast, ale když už pak nejsou ani rodiče, ani manžel, ani láska, ani vlast, co zbude pro zradu?"
"felt","feel","cítí","cítit","impf"," Sabina felt emptiness all around her."," Sabina cítí kolem sebe prázdnotu."
"rang","ring","Telefonoval","telefonovat","impf"," He rang up the hospital in the small town."," Telefonoval do nemocnice malého města."
"finding","find","zjistit","zjistit","pf"," Meticulous records of the incidence of cancer were kept throughout the country, so he had no trouble finding out that Tereza 's mother had never been suspected of having the disease nor had she even seen a doctor for over a year."," Evidence o rakovinových vyšetřeních je v Čechách velice důkladná, takže mohl snadno zjistit, že u Tereziny matky nebylo zjištěno nikdy žádné podezření na rakovinu a že dokonce v posledním roce nenavštívila lékaře."
"finding","find","zjištěno","zjistit","pf"," Meticulous records of the incidence of cancer were kept throughout the country, so he had no trouble finding out that Tereza 's mother had never been suspected of having the disease nor had she even seen a doctor for over a year."," Evidence o rakovinových vyšetřeních je v Čechách velice důkladná, takže mohl snadno zjistit, že u Tereziny matky nebylo zjištěno nikdy žádné podezření na rakovinu a že dokonce v posledním roce nenavštívila lékaře."
"seen","see","nenavštívila","navštívit","pf"," Meticulous records of the incidence of cancer were kept throughout the country, so he had no trouble finding out that Tereza 's mother had never been suspected of having the disease nor had she even seen a doctor for over a year."," Evidence o rakovinových vyšetřeních je v Čechách velice důkladná, takže mohl snadno zjistit, že u Tereziny matky nebylo zjištěno nikdy žádné podezření na rakovinu a že dokonce v posledním roce nenavštívila lékaře."
"obeyed","obey","Poslechla","poslechnout","pf"," Tereza obeyed Tomas and did not go to visit her mother."," Poslechla Tomáše a za matkou nejela."
"go","go","nejela","jet","impf"," Tereza obeyed Tomas and did not go to visit her mother."," Poslechla Tomáše a za matkou nejela."
"fell","fall","spadla","spadnout","pf"," Several hours after her decision she fell in the street and injured her knee."," Ještě téhož dne si však odřela koleno, když spadla na ulici."
"replace","replace","nahradit","nahradit","pf"," Nothing could replace the look of unknown eyes."," Nikdo mu nemohl nahradit pohled neznámých očí."
"thought","think","Zdálo","zdát","impf"," He thought he would suffocate."," Zdálo se mu, že se zadusí."
"realized","realize","uvědomil","uvědomit","pf"," Then one day he realized that he was constantly being followed, bugged, and surreptitiously photographed in the street."," Pak si jednoho dne uvědomil, že je na každém kroku sledován policií, odposloucháván v telefonu a dokonce fotografován tajně na ulici."
"followed","follow","sledován","sledovat","impf"," Then one day he realized that he was constantly being followed, bugged, and surreptitiously photographed in the street."," Pak si jednoho dne uvědomil, že je na každém kroku sledován policií, odposloucháván v telefonu a dokonce fotografován tajně na ulici."
"photographed","photograph","fotografován","fotografovat","impf"," Then one day he realized that he was constantly being followed, bugged, and surreptitiously photographed in the street."," Pak si jednoho dne uvědomil, že je na každém kroku sledován policií, odposloucháván v telefonu a dokonce fotografován tajně na ulici."
"succeeded","succeed","podařilo","podařit","pf"," Each time she succeeded was a time of intoxication : her soul would rise to the surface of her body like a crew charging up from the bowels of a ship, spreading out over the deck, waving at the sky and singing in jubilation."," Když se jí to podařilo, byla to chvíle opojení : duše vystupovala na povrch těla, jako když se armáda vyřítí z podpalubí, zaplní celou palubu, mává rukama k nebi a zpívá."
"rise","rise","vystupovala","vystupovat","impf"," Each time she succeeded was a time of intoxication : her soul would rise to the surface of her body like a crew charging up from the bowels of a ship, spreading out over the deck, waving at the sky and singing in jubilation."," Když se jí to podařilo, byla to chvíle opojení : duše vystupovala na povrch těla, jako když se armáda vyřítí z podpalubí, zaplní celou palubu, mává rukama k nebi a zpívá."
"waving","wave","mává","mávat","impf"," Each time she succeeded was a time of intoxication : her soul would rise to the surface of her body like a crew charging up from the bowels of a ship, spreading out over the deck, waving at the sky and singing in jubilation."," Když se jí to podařilo, byla to chvíle opojení : duše vystupovala na povrch těla, jako když se armáda vyřítí z podpalubí, zaplní celou palubu, mává rukama k nebi a zpívá."
"banned","ban","zakázán","zakázat","pf"," After the three of them had had a good laugh, the editor told the story of how his paper had been banned, what the artist who designed the poster was doing, and what had become of other Czech painters, philosophers, and writers."," Všichni tři se chvíli smáli a redaktor se pak rozhovořil o tom, jak byl jeho týdeník zakázán, co dělá kreslíř, který vymyslil tu karikaturu, a co dělají ostatní čeští malíři, filozofové, spisovatelé."
"doing","do","dělá","dělat","impf"," After the three of them had had a good laugh, the editor told the story of how his paper had been banned, what the artist who designed the poster was doing, and what had become of other Czech painters, philosophers, and writers."," Všichni tři se chvíli smáli a redaktor se pak rozhovořil o tom, jak byl jeho týdeník zakázán, co dělá kreslíř, který vymyslil tu karikaturu, a co dělají ostatní čeští malíři, filozofové, spisovatelé."
"doing","do","dělají","dělat","impf"," After the three of them had had a good laugh, the editor told the story of how his paper had been banned, what the artist who designed the poster was doing, and what had become of other Czech painters, philosophers, and writers."," Všichni tři se chvíli smáli a redaktor se pak rozhovořil o tom, jak byl jeho týdeník zakázán, co dělá kreslíř, který vymyslil tu karikaturu, a co dělají ostatní čeští malíři, filozofové, spisovatelé."
"relieved","relieve","zbaveni","zbavit","pf"," After the Russian invasion they had been relieved of their positions and become window washers, parking attendants, night watchmen, boilermen in public buildings, or at best - and usually with pull - taxi drivers."," Po ruské invazi byli všichni zbaveni práce a stali se z nich umývači oken, hlídači parkovišť, noční vrátní, topiči veřejných budov a v nejlepším, téměř protekčním případě, taxikáři."
"do","do","Děláme","dělat","impf"," The only time we do this is when we are certain that the people who come to us have chosen to die of their own accord."," Děláme to, jen když máme jistotu, že lidé, kteří za námi přijdou, si sami výslovně přejí zemřít."
"come","come","přijdou","přijít","pf"," The only time we do this is when we are certain that the people who come to us have chosen to die of their own accord."," Děláme to, jen když máme jistotu, že lidé, kteří za námi přijdou, si sami výslovně přejí zemřít."
"die","die","zemřít","zemřít","pf"," The only time we do this is when we are certain that the people who come to us have chosen to die of their own accord."," Děláme to, jen když máme jistotu, že lidé, kteří za námi přijdou, si sami výslovně přejí zemřít."
