"say","say","řekl","říci","pf"," What else can I say about them?"," Co bych o nich ještě řekl?"
"gave","give","dal","dát","pf"," And what if he tells you that it 's all the same to him who gave him life, it 's he who has to live it, and not the one who gave it to him."," A co když vám řekne, že mu je jedno, kdo mu dal život, když ho musí žít on a ne ten, kdo mu ho dal?"
"gave","give","dával","dávat","impf"," Or if he replies that, if God gave him life, he forgot to give him the strength of character to bear it?"," Nebo když vám namítne, že když mu dával Pánbůh tenhle život, zapomněl mu k tomu přidat i náturu, která by takový život unesla?"
"give","give","dával","dávat","impf"," Or if he replies that, if God gave him life, he forgot to give him the strength of character to bear it?"," Nebo když vám namítne, že když mu dával Pánbůh tenhle život, zapomněl mu k tomu přidat i náturu, která by takový život unesla?"
"forgot","forget","zapomněl","zapomenout","pf"," Or if he replies that, if God gave him life, he forgot to give him the strength of character to bear it?"," Nebo když vám namítne, že když mu dával Pánbůh tenhle život, zapomněl mu k tomu přidat i náturu, která by takový život unesla?"
"bear","bear","unesla","unést","pf"," Or if he replies that, if God gave him life, he forgot to give him the strength of character to bear it?"," Nebo když vám namítne, že když mu dával Pánbůh tenhle život, zapomněl mu k tomu přidat i náturu, která by takový život unesla?"
"impart","impart","dodat","dodat","pf"," Fortunately, in such situations the decisive element is not the strength of the arguments but simply the will to live - and often one can impart that to someone else with the silliest of arguments."," Naštěstí nejde v těchto věcech o sílu argumentů, ale prostě o sílu k životu - a tu lze často někomu dodat i velmi pitomými argumenty."
"read","read","přečíst","přečíst","pf"," I 'd have to read something he 's written, and then perhaps I 'd be able to draw his attention to some aspects he should be paying attention to."," Musel bych si přečíst jeho první texty, pak bych snad byl schopen akcentovat nějaký aspekt, na který by si měl dát pozor."
"said","say","říká","říkat","impf"," In the West it 's often said that the anxiety of the modern artist comes from the feeling that modern society does n't need him."," Na Západě se často říká : neklid současného umělce pramení z pocitu, že ho moderní společnost nepotřebuje."
"need","need","nepotřebuje","potřebovat","impf"," In the West it 's often said that the anxiety of the modern artist comes from the feeling that modern society does n't need him."," Na Západě se často říká : neklid současného umělce pramení z pocitu, že ho moderní společnost nepotřebuje."
"thought","think","přemýšlel","přemýšlet","impf"," Or have you ever thought about how the Czech version of "" not being needed "" differs from the Western version?"," Nebo přemýšlel jste někdy o tom, jak se ta "" česká varianta nepotřebnosti "" liší od té západní?"
"differs","differ","liší","lišit","impf"," Or have you ever thought about how the Czech version of "" not being needed "" differs from the Western version?"," Nebo přemýšlel jste někdy o tom, jak se ta "" česká varianta nepotřebnosti "" liší od té západní?"
"enjoyed","enjoy","bavilo","bavit","impf"," As a matter of fact, I even enjoyed playing that role."," Dokonce mě do jisté míry bavilo tuhle roli hrát."
"playing","play","bavilo","bavit","impf"," As a matter of fact, I even enjoyed playing that role."," Dokonce mě do jisté míry bavilo tuhle roli hrát."
"playing","play","hrát","hrát","impf"," As a matter of fact, I even enjoyed playing that role."," Dokonce mě do jisté míry bavilo tuhle roli hrát."
"listen","listen","neposlouchají","poslouchat","impf"," This kind of thing is not at all common among politicians, especially communists, because they are too busy churning out their own phrases and clichés to listen to anyone."," To není totiž u politiků nikterak obvyklé, zvláště u komunistických, ti si pořád jen melou své fráze a nikoho neposlouchají."
"think","think","Myslíte","myslet","impf"," Do you think that there was any real way of getting out of that crisis?"," Myslíte, že existovala nějaká reálná možnost, jak se z té krize dostat?"
"getting","get","dostat","dostat","pf"," Do you think that there was any real way of getting out of that crisis?"," Myslíte, že existovala nějaká reálná možnost, jak se z té krize dostat?"
"avoiding","avoid","předejít","předejít","pf"," Of avoiding an invasion?"," Jak předejít invazi?"
"playing","play","hráli","hrát","impf"," There were some poignant scenes : for instance, the whole town-hall staircase was packed with these fellows on duty, playing their guitars and singing “ Massachusetts ”, which was a kind of world anthem for hippies then."," Byly to sugestivní výjevy, když bylo třeba celé schodiště radnice plné těchto chlapců a oni při své službě hráli na kytary a zpívali "" Massachusetts "", tehdejší světovou hymnu hippies."
"singing","sing","zpívali","zpívat","impf"," There were some poignant scenes : for instance, the whole town-hall staircase was packed with these fellows on duty, playing their guitars and singing “ Massachusetts ”, which was a kind of world anthem for hippies then."," Byly to sugestivní výjevy, když bylo třeba celé schodiště radnice plné těchto chlapců a oni při své službě hráli na kytary a zpívali "" Massachusetts "", tehdejší světovou hymnu hippies."
"say","say","nemluvil","mluvit","impf"," Among the politicians there were Dubček, Černík, Smrkovský, Hájek, Minister of Culture Galu š ka, and also Husák ( he made himself very inconspicuous and did n't say very much; if I 'd known at the time that he 'd eventually be made first secretary and president, I would certainly have paid more attention to him )."," Z politiků tam byli Dubček, Černík, Smrkovský, Hájek, ministr kultury Galuška, také Husák ( byl nenápadný a moc nemluvil, kdybych byl tehdy věděl, jakou udělá kariéru, rozhodně bych si ho byl víc všímal )."
"made","make","udělá","udělat","pf"," Among the politicians there were Dubček, Černík, Smrkovský, Hájek, Minister of Culture Galu š ka, and also Husák ( he made himself very inconspicuous and did n't say very much; if I 'd known at the time that he 'd eventually be made first secretary and president, I would certainly have paid more attention to him )."," Z politiků tam byli Dubček, Černík, Smrkovský, Hájek, ministr kultury Galuška, také Husák ( byl nenápadný a moc nemluvil, kdybych byl tehdy věděl, jakou udělá kariéru, rozhodně bych si ho byl víc všímal )."
"did","do","udělá","udělat","pf"," Among the politicians there were Dubček, Černík, Smrkovský, Hájek, Minister of Culture Galu š ka, and also Husák ( he made himself very inconspicuous and did n't say very much; if I 'd known at the time that he 'd eventually be made first secretary and president, I would certainly have paid more attention to him )."," Z politiků tam byli Dubček, Černík, Smrkovský, Hájek, ministr kultury Galuška, také Husák ( byl nenápadný a moc nemluvil, kdybych byl tehdy věděl, jakou udělá kariéru, rozhodně bych si ho byl víc všímal )."
"made","make","udělá","udělat","pf"," Among the politicians there were Dubček, Černík, Smrkovský, Hájek, Minister of Culture Galu š ka, and also Husák ( he made himself very inconspicuous and did n't say very much; if I 'd known at the time that he 'd eventually be made first secretary and president, I would certainly have paid more attention to him )."," Z politiků tam byli Dubček, Černík, Smrkovský, Hájek, ministr kultury Galuška, také Husák ( byl nenápadný a moc nemluvil, kdybych byl tehdy věděl, jakou udělá kariéru, rozhodně bych si ho byl víc všímal )."
"stretched","stretch","nataženo","natáhnout","pf"," I think of it, for example, as a rope constantly stretched above me, which I can grab whenever I do n't have the strength to go on."," Například jako o lanu, které je nade mnou neustále nataženo a kterého se můžu chytit kdykoliv, kdy už nebudu schopen jít dál."
