"descended","descend","sestupoval","sestupovat","impf"," The camerlegno felt like he was floating as he descended into the Niche of the Palliums."," Když sestupoval do Palliového výklenku, měl camerlengo pocit, jako by plaval."
"pray","pray","modlil","modlit","impf"," Vittoria suspected he had made this eerie promenade many times since the Pope 's death ... perhaps to pray at his tomb for guidance."," Vittoria měla dojem, že tuto podivnou procházku absolvoval od papežovy smrti už několikrát ... možná proto, aby se u jeho hrobu modlil o radu a o pomoc."
"does","do","nečiní","činit","impf"," “ His Holiness 's office does not make me holy."," "" Úřad Jeho Svatosti mě ještě nečiní svatým."
"make","make","nečiní","činit","impf"," “ His Holiness 's office does not make me holy."," "" Úřad Jeho Svatosti mě ještě nečiní svatým."
"sat","sit","sedli","sednout","pf"," Langdon and Vittoria sat."," Langdon s Vittorií si sedli."
"seated","seat","sedl","sednout","pf"," The camerlegno seated himself at the desk, folded his hands, sighed, and eyed his visitors."," Komoří si sedl za stůl, založil ruce, povzdechl a zadíval se na návštěvníky."
"crying","cry","vykřikli","vykřiknout","pf"," Without warning, the multitudes were crying out as one."," Lidé stojící na náměstí vykřikli."
"opened","open","otevřel","otevřít","pf"," Mortati opened his eyes and turned to the crowd."," Mortati otevřel oči a obrátil se k davu."
"turned","turn","obrátil","obrátit","pf"," Mortati opened his eyes and turned to the crowd."," Mortati otevřel oči a obrátil se k davu."
"pointing","point","ukazovali","ukazovat","impf"," Everyone was pointing behind him, toward the front of St. Peter 's Basilica."," Všichni však ukazovali kamsi za něho, k průčelí Svatopetrské baziliky."
"following","follow","sledoval","sledovat","impf"," Mortati turned, bewildered, following their outstretched hands."," Mortati se celý zmatený ohlédl a sledoval natažené ruce."
"sensed","sense","cítila","cítit","impf"," Now, as she dashed down, headlong into the dark, Vittoria sensed perhaps her father was right."," Když nyní sestupovala do temné hloubky, Vittoria cítila, že její otec měl možná pravdu."
"believe","believe","uvěřit","uvěřit","pf"," Was it so hard to believe that the camerlegno 's trauma had put his mind in a state where he had simply "" realized "" the antimatter 's location?"," Bylo tak těžké uvěřit tomu, že zranění uvedlo camerlengovu mysl do stavu, v němž si prostě "" uvědomil "", kde se antihmota nachází?"
"put","put","uvedlo","uvést","pf"," Was it so hard to believe that the camerlegno 's trauma had put his mind in a state where he had simply "" realized "" the antimatter 's location?"," Bylo tak těžké uvěřit tomu, že zranění uvedlo camerlengovu mysl do stavu, v němž si prostě "" uvědomil "", kde se antihmota nachází?"
"realized","realize","uvědomil","uvědomit","pf"," Was it so hard to believe that the camerlegno 's trauma had put his mind in a state where he had simply "" realized "" the antimatter 's location?"," Bylo tak těžké uvěřit tomu, že zranění uvedlo camerlengovu mysl do stavu, v němž si prostě "" uvědomil "", kde se antihmota nachází?"
"said","say","pravil","pravit","pf"," EACH OF US IS A GOD, Buddha had said."," Každý z nás je Bůh, pravil Buddha."
"slow","slow","zpomalovaly","zpomalovat","impf"," His Italian skills were rocky at best, and the tiny penmanship and archaic language was making it slow going."," Jeho italština byla v nejlepším případě kostrbatá, a drobné kaligrafické písmo a archaický jazyk originálu celou práci ještě zpomalovaly."
"finished","finish","skončil","skončit","pf"," When Langdon finished his final page, he cursed under his breath and looked over at Vittoria."," Když Langdon se zřejmými dýchacími obtížemi skončil s poslední stránkou, vzhlédl a podíval se po Vittorii."
"looked","look","podíval","podívat","pf"," When Langdon finished his final page, he cursed under his breath and looked over at Vittoria."," Když Langdon se zřejmými dýchacími obtížemi skončil s poslední stránkou, vzhlédl a podíval se po Vittorii."
"raining","rain","pršelo","pršet","impf"," It was raining the morning the Vatican staff banged on the camerlegno 's door, awakening him from a fitful sleep."," Onoho rána pršelo, když vatikánský personál ťukal na camerlengovy dveře a probudil jej z neklidného spánku."
"awakening","awaken","probudil","probudit","pf"," It was raining the morning the Vatican staff banged on the camerlegno 's door, awakening him from a fitful sleep."," Onoho rána pršelo, když vatikánský personál ťukal na camerlengovy dveře a probudil jej z neklidného spánku."
"answering","answer","neodpovídá","odpovídat","impf"," The Pope, they said, was not answering his door or his phone."," Papež, sdělovali, neodpovídá ani na klepání ani na vyzvánění telefonu."
"enter","enter","vstoupit","vstoupit","pf"," The camerlegno was the only one who could enter the Pope 's chambers unannounced."," Camerlengo byl jediný, kdo měl právo vstoupit do papežova bytu neohlášen."
"entered","enter","Vstoupil","vstoupit","pf"," The camerlegno entered alone to find the Pope, as he was the night before, twisted and dead in his bed."," Vstoupil tedy a nalezl papeže ve stejné poloze jako předchozího večera - zkrouceného v posteli a mrtvého."
"talks","talk","hovoří","hovořit","impf"," We have a number of other security concerns at the moment, and with all due respect to Ms. Vetra, this droplet she talks about is very small."," V tuto chvíli máme ještě úkoly týkající se bezpečnosti, a při vší úctě k paní Vetrové je ta kapička, o níž stále hovoří, velmi malá."
"level","level","srovnala","srovnat","pf"," “ That droplet is enough to level Vatican City!"," "" Ta kapička je dost velká na to, aby srovnala Vatikán se zemí."
"listen","listen","Poslouchal","poslouchat","impf"," Did you even listen to a word I told you? ”"," Poslouchal jste vůbec aspoň jediné slovo z toho, co jsem vám povídala? """
"told","tell","povídala","povídat","impf"," Did you even listen to a word I told you? ”"," Poslouchal jste vůbec aspoň jediné slovo z toho, co jsem vám povídala? """
"said","say","pronesl","pronést","pf"," “ Ma'am, ” Olivetti said, his voice like steel, “ my experience with explosives is extensive. ”"," "" Madam, "" pronesl Olivetti hlasem jako z ocele, "" moje zkušenosti s výbušninami jsou poměrně rozsáhlé. """
"told","tell","řekl","říci","pf"," Your father has told me only two things about your current project."," O vašem současném projektu mi řekl pouze dvě věci."
"bring","bring","přinést","přinést","pf"," One, that it has the potential to bring CERN millions of francs in licensing contracts in the next decade."," Za prvé, že může v příštím desetiletí přinést CERNu miliony franků z licenčních smluv."
"steal","steal","ukrást","ukrást","pf"," Considering these two facts, I would prefer strangers not poke around inside his lab and either steal his work or kill themselves in the process and hold CERN liable."," Vzhledem k těmto faktům bych byl rád, kdyby v jeho laboratoři nečmuchali cizí lidé, kteří by mohli jeho vynález ukrást nebo se při pokusu o výrobu ještě ke všemu zabít, přičemž by odpovědnost nesl CERN."
"kill","kill","zabít","zabít","pf"," Considering these two facts, I would prefer strangers not poke around inside his lab and either steal his work or kill themselves in the process and hold CERN liable."," Vzhledem k těmto faktům bych byl rád, kdyby v jeho laboratoři nečmuchali cizí lidé, kteří by mohli jeho vynález ukrást nebo se při pokusu o výrobu ještě ke všemu zabít, přičemž by odpovědnost nesl CERN."
"hold","hold","nesl","nést","impf"," Considering these two facts, I would prefer strangers not poke around inside his lab and either steal his work or kill themselves in the process and hold CERN liable."," Vzhledem k těmto faktům bych byl rád, kdyby v jeho laboratoři nečmuchali cizí lidé, kteří by mohli jeho vynález ukrást nebo se při pokusu o výrobu ještě ke všemu zabít, přičemž by odpovědnost nesl CERN."
"stared","stare","zírala","zírat","impf"," Vittoria stared, saying nothing."," Vittoria jen němě zírala."
"refused","refuse","odmítl","odmítnout","pf"," I refused to fire a weapon, so they made me fly instead."," Jelikož jsem odmítl používat střelnou zbraň, udělali ze mne letce."
"made","make","udělali","udělat","pf"," I refused to fire a weapon, so they made me fly instead."," Jelikož jsem odmítl používat střelnou zbraň, udělali ze mne letce."
"fly","fly","létám","létat","impf"," In fact, I still fly from time to time. ”"," Ještě dnes občas létám. """
"tried","try","pokoušela","pokoušet","impf"," Vittoria tried to picture the young priest flying a helicopter."," Vittoria se pokoušela představit si mladého kněze pilotujícího helikoptéru."
"funded","fund","financovat","financovat","impf"," The gold leaf in the ceiling alone probably could have funded a year 's worth of cancer research."," Za to, co stálo zlaté listoví na stropě, by se dal financovat jeden rok výzkumu rakoviny."
"failed","fail","selhala","selhat","pf"," “ Tactics which no doubt failed. ”"," "" Taktiky, která bezpochyby selhala. """
"nodded","nod","přikývl","přikývnout","pf"," Rocher nodded."," Rocher přikývl."
"read","read","přečetla","přečíst","pf"," A statement read by Mr. Kohler 's assistant in Geneva, Sylvie Baudeloque, announced this morning that CERN 's board of directors, although enthusiastic about antimatter 's potential, are suspending all research and licensing until further inquiries into its safety can be examined. ”"," Prohlášení správní rady CERNu, které přečetla ženevská asistentka pana Kohlera Sylvie Baudeloqueová, se sice nadšeně vyjadřuje o potenciálním přínosu antihmoty, avšak do té doby, než budou k dispozici výsledky dalšího zkoumání její bezpečnosti, se další výzkum i prodej licencí zastavuje. """
"came","come","dorazil","dorazit","pf"," “ Notably absent from our screens tonight, ” Glick reported, “ is the face of Robert Langdon, the Harvard professor who came to Vatican City yesterday to lend his expertise during this Illuminati crisis."," "" V naší noční reportáži nápadně chyběla tvář profesora Harvardovy univerzity Roberta Langdona, který včera dorazil do Vatikánu s odborným dobrozdáním k problematice iluminátů."
"learn","learn","nezjistilo","zjistit","pf"," Even WITH an autopsy, we would learn nothing."," A navíc by se pitvou stejně nic nezjistilo."
"find","find","našly","najít","pf"," We would find traces of Heparin in his body from his daily injections. ”"," V těle by se prostě našly stopy heparinu pocházejícího z každodenních injekcí. """
