"said","say","řekl","říci","pf"," “ No, no, it is not so bad as that, ” said Holmes, smiling."," "" Snad to nebude tak hrozné, "" řekl Holmes s úsměvem."
"resides","reside","sídlí","sídlit","impf"," The General phoned that all was ready, and the fiery Miss W. turned up according to schedule, so that at half-past five a cab deposited us outside 104 Berkeley Square, where the old soldier resides - one of those awful gray London castles which would make a church seem frivolous."," Generál zatelefonoval, že vše je připraveno, temperamentní slečna Winterová se objevila přesně podle úmluvy, a v půl šesté nás drožka vyložila před číslem 104 na Berkeley Square, kde ten starý voják sídlí - je to jeden z těch chmurných šedých londýnských hradů, vedle nichž i kostel působí frivolně."
"make","make","působí","působit","impf"," The General phoned that all was ready, and the fiery Miss W. turned up according to schedule, so that at half-past five a cab deposited us outside 104 Berkeley Square, where the old soldier resides - one of those awful gray London castles which would make a church seem frivolous."," Generál zatelefonoval, že vše je připraveno, temperamentní slečna Winterová se objevila přesně podle úmluvy, a v půl šesté nás drožka vyložila před číslem 104 na Berkeley Square, kde ten starý voják sídlí - je to jeden z těch chmurných šedých londýnských hradů, vedle nichž i kostel působí frivolně."
"showed","show","uvedl","uvést","pf"," A footman showed us into a great yellow-curtained drawing-room, and there was the lady awaiting us, demure, pale, self-contained, as inflexible and remote as a snow image on a mountain."," Lokaj nás uvedl do salónu se žlutými záclonkami a tam nás očekávala dáma - vážná, bledá, chladná a nepřístupná jako ledová socha na horském vrcholu."
"awaiting","await","očekávala","očekávat","impf"," A footman showed us into a great yellow-curtained drawing-room, and there was the lady awaiting us, demure, pale, self-contained, as inflexible and remote as a snow image on a mountain."," Lokaj nás uvedl do salónu se žlutými záclonkami a tam nás očekávala dáma - vážná, bledá, chladná a nepřístupná jako ledová socha na horském vrcholu."
"tell","tell","Povídám","povídat","impf"," I tell you, you foolish woman, if you marry this man he ’ ll be the death of you."," Povídám vám, vy ženská hloupá, že vás ten chlap přivede do hrobu, jestli si ho vemete."
"broken","break","Zlomí","zlomit","pf"," It may be a broken heart or it may be a broken neck, but he ’ ll have you one way or the other."," Zlomí vám srdce nebo vám zlomí vaz, ale skoncuje s váma tak nebo tak."
"broken","break","Zlomí","zlomit","pf"," It may be a broken heart or it may be a broken neck, but he ’ ll have you one way or the other."," Zlomí vám srdce nebo vám zlomí vaz, ale skoncuje s váma tak nebo tak."
"broken","break","zlomí","zlomit","pf"," It may be a broken heart or it may be a broken neck, but he ’ ll have you one way or the other."," Zlomí vám srdce nebo vám zlomí vaz, ale skoncuje s váma tak nebo tak."
"broken","break","zlomí","zlomit","pf"," It may be a broken heart or it may be a broken neck, but he ’ ll have you one way or the other."," Zlomí vám srdce nebo vám zlomí vaz, ale skoncuje s váma tak nebo tak."
"heard","hear","slyšel","slyšet","impf"," “ If you heard him talk you would not doubt it."," "" Kdybyste ho slyšel mluvit, nemohl byste o tom pochybovat."
"talk","talk","mluvit","mluvit","impf"," “ If you heard him talk you would not doubt it."," "" Kdybyste ho slyšel mluvit, nemohl byste o tom pochybovat."
"doubt","doubt","pochybovat","pochybovat","impf"," “ If you heard him talk you would not doubt it."," "" Kdybyste ho slyšel mluvit, nemohl byste o tom pochybovat."
"understand","understand","rozumím","rozumět","impf"," Sometimes I assure you I can hardly understand him."," Ujišťuji vás, že mu někdy sotva rozumím."
"declared","declare","vyhlásil","vyhlásit","pf"," He seems to have declared war on the King ’ s English as well as on the English king."," On zřejmě vyhlásil válku nejen Angličanům, ale i angličtině."
"go","go","jet","jet","impf"," Must you really go?"," Musíte skutečně už jet?"
"see","see","viděl","vidět","impf"," One could see that he had indeed been a handsome man with clear-cut features sunburned by an African sun, but mottled in patches over this darker surface were curious whitish patches which had bleached his skin."," Člověk viděl, že to býval skutečně hezký mládenec s ostře řezanou tváří, opálenou africkým sluncem, ale temná pleť se místy hemžila bělavými skvrnami, které jako by z ní vysály všechnu barvu."
"said","say","řekl","říci","pf"," “ That ’ s why I don ‘ t court visitors, ” said he."," "" Tohle je ten důvod, proč mi návštěvy nejsou vítané, "" řekl."
"gone","go","odjel","odjet","pf"," Godfrey had gone on a voyage round the world, and it was not likely that he would be back for a year."," Godfrey prý odjel na cestu kolem světa a pravděpodobně se vrátí až po roce."
"lit","light","Zapálil","zapálit","pf"," I lit my pipe and leaned back in my chair."," Zapálil jsem si dýmku a opřel se v křesle dozadu."
"leaned","lean","opřel","opřít","pf"," I lit my pipe and leaned back in my chair."," Zapálil jsem si dýmku a opřel se v křesle dozadu."
"explain","explain","vysvětlil","vysvětlit","pf"," “ Perhaps you will explain what you are talking about. ”"," "" Snad abyste mi vysvětlil, o čem to mluvíte. """
"talking","talk","mluvíte","mluvit","impf"," “ Perhaps you will explain what you are talking about. ”"," "" Snad abyste mi vysvětlil, o čem to mluvíte. """
"got","get","Nabyl","nabýt","pf"," “ I had got into the way of supposing that you knew everything without being told, ” said he."," "" Nabyl jsem dojmu, že víte všechno i bez vysvětlování, "" řekl."
"told","tell","řekl","říci","pf"," “ I had got into the way of supposing that you knew everything without being told, ” said he."," "" Nabyl jsem dojmu, že víte všechno i bez vysvětlování, "" řekl."
"said","say","řekl","říci","pf"," “ I had got into the way of supposing that you knew everything without being told, ” said he."," "" Nabyl jsem dojmu, že víte všechno i bez vysvětlování, "" řekl."
"feel","feel","Cítím","cítit","impf"," “ I feel twenty years younger, Holmes."," "" Cítím se o dvacet let mladší, Holmesi."
"changed","change","nezměnil","změnit","pf"," But you, Holmes-you have changed very little-save for that horrible goatee. ”"," Ale vy, Holmesi, vy jste se skoro vůbec nezměnil - až na tu odpornou bradku. """
"said","say","řekl","říci","pf"," “ These are the sacrifices one makes for one ’ s country, Watson, ” said Holmes, pulling at his little tuft."," Takové oběti přináší člověk na oltář vlasti, Watsone, "" řekl Holmes a zatahal se za prořídlý plnovous."
"ask","ask","požádat","požádat","pf"," I must ask you, however, to drop these inquiries."," Jsem však nucen vás požádat, abyste v dalším pátrání ustal."
"drop","drop","ustal","ustat","pf"," I must ask you, however, to drop these inquiries."," Jsem však nucen vás požádat, abyste v dalším pátrání ustal."
"tell","tell","vyprávět","vyprávět","impf"," My wife is anxious to hear something of Godfrey ’ s past which you are in a position to tell her, but I would ask you to let the present and the future alone."," Moje paní touží vyposlechnout si něco o Godfreyově minulosti a vy jste s to jí o tom vyprávět, ale žádal bych vás, abyste se o přítomnost a budoucnost přestal zajímat."
"ask","ask","žádal","žádat","impf"," My wife is anxious to hear something of Godfrey ’ s past which you are in a position to tell her, but I would ask you to let the present and the future alone."," Moje paní touží vyposlechnout si něco o Godfreyově minulosti a vy jste s to jí o tom vyprávět, ale žádal bych vás, abyste se o přítomnost a budoucnost přestal zajímat."
"serve","serve","neposloužilo","posloužit","pf"," Such inquiries serve no useful purpose, sir, and place us in a delicate and difficult position. ’"," Takové pátrání by nikomu neposloužilo a nás by uvedlo do trapné a obtížné situace. '"
"see","see","Vidím","vidět","impf"," I see that you are tired out and that wounded shoulder of yours wants looking after."," Vidím, že jste vyčerpaný, a to zraněné rameno potřebuje ošetřit."
"slept","sleep","spal","spát","impf"," You are in the Leper Hospital, and you have slept in a leper ’ s bed. ’"," Jste v nemocnici malomocných a spal jste na lůžku malomocného. '"
"fight","fight","bojovali","bojovat","impf"," I should think they would be wiser to fight with allies than without them, but that is their own affair."," Podle mého názoru by udělali lépe, kdyby bojovali se spojenci než bez nich, ale to už je jejich věc."
"guess","guess","tušit","tušit","impf"," How could I guess what the little packet was that she carried so carefully under her cloak?"," Jak jsem mohl tušit, co obsahuje balíček, který tak opatrně schovávala pod kabátem?"
"thought","think","Myslel","myslet","impf"," I thought she had come altogether on my business, but it seems she had some of her own. ”"," Myslel jsem, že se toho účastní výhradně v zájmu naší věci, ale ona si zřejmě hodlala vyřídit ještě vlastní účty. """
"thought","think","hodlala","hodlat","impf"," I thought she had come altogether on my business, but it seems she had some of her own. ”"," Myslel jsem, že se toho účastní výhradně v zájmu naší věci, ale ona si zřejmě hodlala vyřídit ještě vlastní účty. """
"hope","hope","doufat","doufat","impf"," I am bound, therefore, to hope that it is not a false scent and that he has some real need for our assistance. ”"," Mohu tedy doufat, že nezvětřil lichou stopu a že má skutečně zapotřebí naší pomoci. """
"stroke","stroke","pohladila","pohladit","pf"," She was bending over her knitting and stopping occasionally to stroke a large black cat upon a stool beside her."," Skláněla se nad pletením a občas se vytrhla z práce, aby pohladila velkou černou kočku, která si hověla na stoličce u jejích nohou."
"say","say","prohlásit","prohlásit","pf"," I may say that a good many of these papers have come through me, and I need not add are thoroughly untrustworthy."," Mohu prohlásit, že valnou část těch dokumentů dostal mým prostřednictvím, a nemusím snad dodávat, že neobsahují právě důvěryhodné informace."
"need","need","nemusím","muset","impf"," I may say that a good many of these papers have come through me, and I need not add are thoroughly untrustworthy."," Mohu prohlásit, že valnou část těch dokumentů dostal mým prostřednictvím, a nemusím snad dodávat, že neobsahují právě důvěryhodné informace."
