"remove","remove","odstranit","odstranit","pf"," And the way to remove the mistake is to get a more sophisticated concept of causation."," A tento omyl je možno odstranit tak, že zpřesníme pojem kauzality."
"exists","exist","existují","existovat","impf"," I do not know whether God exists, but I have no doubt at all that subjective mental states exist, because I am now in one and so are you."," A třebaže nevím, zda existuje Bůh, ani v nejmenším nepochybuji o tom, že existují subjektivní mentální stavy, protože se - podobně jako vy - v jednom takovém stavu právě nalézám."
"exist","exist","existují","existovat","impf"," I do not know whether God exists, but I have no doubt at all that subjective mental states exist, because I am now in one and so are you."," A třebaže nevím, zda existuje Bůh, ani v nejmenším nepochybuji o tom, že existují subjektivní mentální stavy, protože se - podobně jako vy - v jednom takovém stavu právě nalézám."
"counter","counter","odporuje","odporovat","impf"," If the fact of subjectivity runs counter to a certain definition of ‘ science ’, then it is the definition and not the fact which we will have to abandon."," Jestliže tedy faktum subjektivity odporuje určité definici ' vědy ', pak je třeba zavrhnout onu definici, nikoli toto faktum."
"derives","derive","odvozena","odvodit","pf"," The[ ]radical discontinuity between the social and psychological disciplines on the one hand and the natural sciences on the other derives from the role of the mind in these disciplines."," Zásadní diskontinuita mezi sociálními a psychologickými disciplínami na straně jedné a disciplínami přírodovědnými na straně druhé je odvozena z role mysli v těchto disciplínách."
"peering","peer","zírají","zírat","impf"," The word ‘ science ’ tends to suggest a lot of researchers in white coats waving test tubes and peering at instruments."," Slovo ' věda ' sugeruje vědce v bílých pláštích, kteří třepou zkumavkami a zírají na přístroje."
"said","say","řekl","říci","pf"," And a digital computer, as defined, cannot have more than just formal symbols because the operation of the computer, as I said earlier, is defined in terms of its ability to implement programs."," A digitální počítač má per definitionem výhradně formální znaky, neboť jak j sem řekl výše, operace počítače se definují prostřednictvím schopnosti realizovat programy."
"suppose","suppose","myslím","myslet","impf"," It seems to me a mistake to suppose that the definition of reality should exclude subjectivity."," Je, myslím, omyl předpokládat, že definice skutečnosti by měla vyloučit subjektivitu."
"suppose","suppose","předpokládat","předpokládat","impf"," It seems to me a mistake to suppose that the definition of reality should exclude subjectivity."," Je, myslím, omyl předpokládat, že definice skutečnosti by měla vyloučit subjektivitu."
"exclude","exclude","vyloučit","vyloučit","pf"," It seems to me a mistake to suppose that the definition of reality should exclude subjectivity."," Je, myslím, omyl předpokládat, že definice skutečnosti by měla vyloučit subjektivitu."
"seeing","see","vidíme","vidět","impf"," The experience of seeing that something is red, for instance."," Například pro zkušenost, že něco vidíme červeně."
"do","do","jednat","jednat","impf"," Those beliefs are important to us because they have to do with the belief that we could have done things differently from the way we did in fact do them."," Tato přesvědčení jsou ovšem důležitá proto, že souvisejí s přesvědčením, že jsme mohli jednat jinak, než jsme ve skutečnosti jednali."
"done","do","jednat","jednat","impf"," Those beliefs are important to us because they have to do with the belief that we could have done things differently from the way we did in fact do them."," Tato přesvědčení jsou ovšem důležitá proto, že souvisejí s přesvědčením, že jsme mohli jednat jinak, než jsme ve skutečnosti jednali."
"did","do","jednat","jednat","impf"," Those beliefs are important to us because they have to do with the belief that we could have done things differently from the way we did in fact do them."," Tato přesvědčení jsou ovšem důležitá proto, že souvisejí s přesvědčením, že jsme mohli jednat jinak, než jsme ve skutečnosti jednali."
"do","do","jednat","jednat","impf"," Those beliefs are important to us because they have to do with the belief that we could have done things differently from the way we did in fact do them."," Tato přesvědčení jsou ovšem důležitá proto, že souvisejí s přesvědčením, že jsme mohli jednat jinak, než jsme ve skutečnosti jednali."
"do","do","jednali","jednat","impf"," Those beliefs are important to us because they have to do with the belief that we could have done things differently from the way we did in fact do them."," Tato přesvědčení jsou ovšem důležitá proto, že souvisejí s přesvědčením, že jsme mohli jednat jinak, než jsme ve skutečnosti jednali."
"done","do","jednali","jednat","impf"," Those beliefs are important to us because they have to do with the belief that we could have done things differently from the way we did in fact do them."," Tato přesvědčení jsou ovšem důležitá proto, že souvisejí s přesvědčením, že jsme mohli jednat jinak, než jsme ve skutečnosti jednali."
"did","do","jednali","jednat","impf"," Those beliefs are important to us because they have to do with the belief that we could have done things differently from the way we did in fact do them."," Tato přesvědčení jsou ovšem důležitá proto, že souvisejí s přesvědčením, že jsme mohli jednat jinak, než jsme ve skutečnosti jednali."
"do","do","jednali","jednat","impf"," Those beliefs are important to us because they have to do with the belief that we could have done things differently from the way we did in fact do them."," Tato přesvědčení jsou ovšem důležitá proto, že souvisejí s přesvědčením, že jsme mohli jednat jinak, než jsme ve skutečnosti jednali."
"assisted","assist","podporovala","podporovat","impf"," My greatest debts are to my wife, Dagmar Searle, who assisted me at every step of the way, and to whom this book is dedicated."," Největší dík ovšem patří mé ženě Dagmaře Searlové, která mě od začátku do konce podporovala a které je tato kniha také věnována."
"dedicated","dedicate","věnována","věnovat","impf"," My greatest debts are to my wife, Dagmar Searle, who assisted me at every step of the way, and to whom this book is dedicated."," Největší dík ovšem patří mé ženě Dagmaře Searlové, která mě od začátku do konce podporovala a které je tato kniha také věnována."
"trying","try","pokoušeli","pokoušet","impf"," For thousands of years, people have been trying to understand their relationship to the rest of the universe."," Tisíce let se lidé pokoušeli porozumět svému vztahu k ostatnímu univerzu."
