"kills","kill","zabil","zabít","pf"," Eat it so that the point of the hook goes into your heart and kills you, he thought."," Spolkni to tak, aby ti hrot háku pronikl do srdce a zabil tě, pomyslel si."
"started","start","začala","začít","pf"," He took all his pain and what was left of his strength and his long gone pride and he put it against the fish 's agony and the fish came over onto his side and swam gently on his side, his bill almost touching the planking of the skiff and started to pass the boat, long, deep, wide, silver and barred with purple and interminable in the water."," Sebral veškerou svou bolest a zbytek svých sil a svou dávno ztracenou hrdost a postavil je proti smrtelné úzkosti ryby a ryba se převrátila na bok a plula mírně na boku, dotýkajíc se téměř svým mečovitým výrůstkem bednění loďky, a začala míjet člun, dlouhá, nořící se do hloubky a široká, stříbrná a temně purpurově pruhovaná a ve vodě zdánlivě nekonečná."
"pass","pass","míjet","míjet","impf"," He took all his pain and what was left of his strength and his long gone pride and he put it against the fish 's agony and the fish came over onto his side and swam gently on his side, his bill almost touching the planking of the skiff and started to pass the boat, long, deep, wide, silver and barred with purple and interminable in the water."," Sebral veškerou svou bolest a zbytek svých sil a svou dávno ztracenou hrdost a postavil je proti smrtelné úzkosti ryby a ryba se převrátila na bok a plula mírně na boku, dotýkajíc se téměř svým mečovitým výrůstkem bednění loďky, a začala míjet člun, dlouhá, nořící se do hloubky a široká, stříbrná a temně purpurově pruhovaná a ve vodě zdánlivě nekonečná."
"looking","look","nedívaje","dívat","impf"," Then the sun was brighter and the glare came on the water and then, as it rose clear, the flat sea sent it hack at his eyes so that it hurt sharply and he rowed without looking into it."," Pak slunce vysvitlo jasněji a jeho záře dopadla na vodu a pak, když se vyhouplo celé, odráželo mu je hladké moře do očí, až jej prudce rozbolely, a on vesloval nedívaje se do něho."
"looked","look","Hleděl","hledět","impf"," He looked down into the water and watched the lines that went straight down into the dark of the water."," Hleděl do vody a pozoroval šňůry spadající dolů do zšeřelé hloubky."
"watched","watch","Hleděl","hledět","impf"," He looked down into the water and watched the lines that went straight down into the dark of the water."," Hleděl do vody a pozoroval šňůry spadající dolů do zšeřelé hloubky."
"watched","watch","pozoroval","pozorovat","impf"," He looked down into the water and watched the lines that went straight down into the dark of the water."," Hleděl do vody a pozoroval šňůry spadající dolů do zšeřelé hloubky."
"sailing","sail","pluli","plout","impf"," But they were sailing together lashed side by side and the old man thought, let him bring me in if it pleases him."," Ale takhle pluli připoutáni k sobě, bok po boku, a stařec si myslel : ať doveze domů on mne, jestli mu to dělá radost."
"bring","bring","doveze","dovézt","pf"," But they were sailing together lashed side by side and the old man thought, let him bring me in if it pleases him."," Ale takhle pluli připoutáni k sobě, bok po boku, a stařec si myslel : ať doveze domů on mne, jestli mu to dělá radost."
"meant","mean","nechtěl","chtít","impf"," I am only better than him through trickery and he meant me no harm."," Zvítězil jsem nad ním jenom uskokem a on mi nechtěl ublížit."
"sailed","sail","Pluli","plout","impf"," They sailed well and the old man soaked his hands in the salt water and tried to keep his head clear."," Pluli dobře a stařec si máčel ruce ve slané vodě a snažil se udržet si jasnou hlavu."
"tried","try","snažil","snažit","impf"," They sailed well and the old man soaked his hands in the salt water and tried to keep his head clear."," Pluli dobře a stařec si máčel ruce ve slané vodě a snažil se udržet si jasnou hlavu."
"keep","keep","udržet","udržet","pf"," They sailed well and the old man soaked his hands in the salt water and tried to keep his head clear."," Pluli dobře a stařec si máčel ruce ve slané vodě a snažil se udržet si jasnou hlavu."
"thought","think","pomyslel","pomyslet","pf"," Just bed, he thought."," Prostě postel, pomyslel si."
"beaten","beat","poražen","porazit","pf"," It is easy when you are beaten, he thought."," Jak je to lehké, když je člověk poražen, řekl si v duchu."
"beat","beat","porazilo","porazit","pf"," And what beat you, he thought."," A co tě porazilo? zeptal se sám sebe."
"said","say","odpověděl","odpovědět","pf"," "" Nothing, "" he said aloud."," "" Nic, "" odpověděl si nahlas."
"see","see","Neviděl","vidět","impf"," He could not see the green of the shore now but only the tops of the blue hills that showed white as though they were snow-capped and the clouds that looked like high snow mountains above them."," Neviděl už zeleň pobřeží, jenom vršky modravých kopců, které se zdály bílé, jako by měly sněžné čepičky, a oblaka, která se nad nimi tyčila jako vysoké sněžné pohoří."
"lay","lie","Ležel","ležet","impf"," He lay in the stern in the sun, compact and bullet shaped, his big, unintelligent eyes staring as he thumped his life out against the planking of the boat with the quick shivering strokes of his neat, fast-moving tail."," Ležel na zádi v slunci, jako vysoustruhovaný z jednoho kusu do tvaru granátu, veliké a nechápavé oči dokořán, a utloukal se k smrti o podlážku člunu prudkými chvějivými údery čistě vykrojeného a rychle se mrskajícího ocasu."
"said","say","řekl","říci","pf"," "" Albacore, "" he said aloud."," "" ALBACORE, "" řekl si nahlas."
"weigh","weigh","Váží","vážit","impf"," He 'll weigh ten pounds. """," Váží dobrých deset liber. """
"think","think","Myslím","myslet","impf"," "" I think so."," "" Myslím, že jsem."
"said","say","řekl","říci","pf"," "" Let us take the stuff home, "" the boy said."," "" Odneseme věci domů, "" řekl chlapec."
"picked","pick","Sebrali","sebrat","pf"," They picked up the gear from the boat."," Sebrali z člunu výstroj."
"felt","feel","ucítil","ucítit","pf"," Just then he felt a sudden banging and jerking on the line he held with his two hands."," Právě v tom okamžiku ucítil náhlé škubání a cukání šňůry, kterou držel oběma rukama."
"held","hold","držel","držet","impf"," Just then he felt a sudden banging and jerking on the line he held with his two hands."," Právě v tom okamžiku ucítil náhlé škubání a cukání šňůry, kterou držel oběma rukama."
"thought","think","pomyslel","pomyslet","pf"," He is hitting the wire leader with his spear, he thought."," Pustila se svým mečem do drátěného nástavce, pomyslel si stařec."
"do","do","udělat","udělat","pf"," He had to do that."," Musela to udělat."
"jump","jump","skákat","skákat","impf"," It may make him jump though and I would rather he stayed circling now."," Ale mohla by z toho začít skákat a já bych byl radši, kdyby zůstala kroužit."
"stayed","stay","zůstala","zůstat","pf"," It may make him jump though and I would rather he stayed circling now."," Ale mohla by z toho začít skákat a já bych byl radši, kdyby zůstala kroužit."
"circling","circle","kroužit","kroužit","impf"," It may make him jump though and I would rather he stayed circling now."," Ale mohla by z toho začít skákat a já bych byl radši, kdyby zůstala kroužit."
"eat","eat","sněz","sníst","pf"," Make another turn in the dark and come back and eat them."," Zakruž tam ve tmě ještě jednou, vrať se a sněz je!"
"felt","feel","Ucítil","ucítit","pf"," He felt the light delicate pulling and then a harder pull when a sardine 's head must have been more difficult to break from the hook."," Ucítil lehké jemné cukání a pak prudší škubnutí, asi když hlava některé sardinky nešla tak snadno odtrhnout s háku."
"Come","come","Pojď","jít","impf"," "" Come on, "" the old man said aloud."," "" Pojď, pojď! "" vábil ji starý nahlas."
"Come","come","pojď","jít","impf"," "" Come on, "" the old man said aloud."," "" Pojď, pojď! "" vábil ji starý nahlas."
"Eat","eat","Sněz","sníst","pf"," Eat them good now and then there is the tuna."," Sněz je všechny a pak tě čeká tuňák."
"opened","open","otevřel","otevřít","pf"," The old man opened his eyes and for a moment he was coming back from a long way away."," Stařec otevřel oči a chvíli se vracel z nějaké daleké, dálné cesty."
"smiled","smile","usmál","usmát","pf"," Then he smiled."," Pak se usmál."
"Come","come","Pojďte","jít","impf"," "" Come on and eat."," "" Pojďte a najezte se!"
"eat","eat","nejíst","jíst","impf"," You ca n't fish and not eat. """," To nejde, rybařit a nejíst. """
"said","say","řekl","říci","pf"," "" I have, "" the old man said getting up and taking the newspaper and folding it."," "" Dělávám to, "" řekl stařec vstávaje, sebral noviny a složil je."
"folding","fold","složil","složit","pf"," "" I have, "" the old man said getting up and taking the newspaper and folding it."," "" Dělávám to, "" řekl stařec vstávaje, sebral noviny a složil je."
"watched","watch","pozoroval","pozorovat","impf"," Now the man watched the dip of the three sticks over the side of the skiff and rowed gently to keep the lines straight up and down and at their proper depths."," Teď stařec pozoroval přes pažení loďky, jak se tři klacky noří do vody, a zlehka vesloval, aby udržel šňůry svisle napjaté a v patřičných hloubkách."
"keep","keep","udržel","udržet","pf"," Now the man watched the dip of the three sticks over the side of the skiff and rowed gently to keep the lines straight up and down and at their proper depths."," Teď stařec pozoroval přes pažení loďky, jak se tři klacky noří do vody, a zlehka vesloval, aby udržel šňůry svisle napjaté a v patřičných hloubkách."
"rise","rise","vyjít","vyjít","pf"," It was quite light and any moment now the sun would rise."," Bylo už docela světlo a každou chvíli už muselo vyjít slunce."
"rose","rise","vystoupilo","vystoupit","pf"," The sun rose thinly from the sea and the old man could see the other boats, low on the water and well in toward the shore, spread out across the current."," Slunce vystoupilo krajíčkem z moře a stařec uviděl ostatní čluny, nízko na vodě a hezky daleko směrem ke břehu, jak se rozptýlily po šířce proudu."
